layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,China,1900,0,,,,,,
,Line Graph,China,1920,0.02,,,,,,
,Line Graph,China,1940,0.05,,,,,,
,Line Graph,China,1950,0.08,,,,,,
,Line Graph,China,1960,0.4,,,,,,
,Line Graph,China,1961,0.2,,,,,,
,Line Graph,China,1970,0.8,,,,,,
,Line Graph,China,1980,1.5,,,,,,
,Line Graph,China,1990,2.4,,,,,,
,Line Graph,China,1998,3.3,,,,,,
,Line Graph,China,2000,3.4,,,,,,
,Line Graph,China,2005,5.5,,,,,,
,Line Graph,China,2010,8.5,,,,,,
,Line Graph,China,2015,9.3,,,,,,
,Line Graph,China,2020,10.9,,,,,,
,Line Graph,China,2024,12.1,,,,,,
,Line Graph,United States,1800,0,,,,,,
,Line Graph,United States,1850,0.05,,,,,,
,Line Graph,United States,1880,0.2,,,,,,
,Line Graph,United States,1900,0.7,,,,,,
,Line Graph,United States,1910,1.2,,,,,,
,Line Graph,United States,1918,1.6,,,,,,
,Line Graph,United States,1921,1.2,,,,,,
,Line Graph,United States,1929,1.7,,,,,,
,Line Graph,United States,1932,1.2,,,,,,
,Line Graph,United States,1940,1.9,,,,,,
,Line Graph,United States,1944,2.5,,,,,,
,Line Graph,United States,1949,2.2,,,,,,
,Line Graph,United States,1950,2.4,,,,,,
,Line Graph,United States,1960,2.9,,,,,,
,Line Graph,United States,1970,4.3,,,,,,
,Line Graph,United States,1973,4.7,,,,,,
,Line Graph,United States,1975,4.4,,,,,,
,Line Graph,United States,1979,4.8,,,,,,
,Line Graph,United States,1982,4.3,,,,,,
,Line Graph,United States,1990,5.0,,,,,,
,Line Graph,United States,2000,5.8,,,,,,
,Line Graph,United States,2005,6.1,,,,,,
,Line Graph,United States,2007,6.0,,,,,,
,Line Graph,United States,2009,5.3,,,,,,
,Line Graph,United States,2010,5.4,,,,,,
,Line Graph,United States,2015,5.2,,,,,,
,Line Graph,United States,2020,4.7,,,,,,
,Line Graph,United States,2024,4.9,,,,,,
,Line Graph,India,1900,0,,,,,,
,Line Graph,India,1950,0.1,,,,,,
,Line Graph,India,1970,0.2,,,,,,
,Line Graph,India,1980,0.3,,,,,,
,Line Graph,India,1990,0.6,,,,,,
,Line Graph,India,2000,1.0,,,,,,
,Line Graph,India,2010,1.7,,,,,,
,Line Graph,India,2015,2.3,,,,,,
,Line Graph,India,2020,2.4,,,,,,
,Line Graph,India,2024,3.1,,,,,,
,Line Graph,Germany,1800,0,,,,,,
,Line Graph,Germany,1850,0.05,,,,,,
,Line Graph,Germany,1900,0.4,,,,,,
,Line Graph,Germany,1910,0.5,,,,,,
,Line Graph,Germany,1920,0.4,,,,,,
,Line Graph,Germany,1930,0.5,,,,,,
,Line Graph,Germany,1940,0.6,,,,,,
,Line Graph,Germany,1945,0.2,,,,,,
,Line Graph,Germany,1950,0.5,,,,,,
,Line Graph,Germany,1960,0.8,,,,,,
,Line Graph,Germany,1970,1.0,,,,,,
,Line Graph,Germany,1980,1.1,,,,,,
,Line Graph,Germany,1990,1.0,,,,,,
,Line Graph,Germany,2000,0.9,,,,,,
,Line Graph,Germany,2010,0.8,,,,,,
,Line Graph,Germany,2020,0.6,,,,,,
,Line Graph,Germany,2024,0.6,,,,,,
,Line Graph,Brazil,1900,0,,,,,,
,Line Graph,Brazil,1950,0.05,,,,,,
,Line Graph,Brazil,1970,0.1,,,,,,
,Line Graph,Brazil,1980,0.2,,,,,,
,Line Graph,Brazil,1990,0.25,,,,,,
,Line Graph,Brazil,2000,0.35,,,,,,
,Line Graph,Brazil,2010,0.45,,,,,,
,Line Graph,Brazil,2020,0.45,,,,,,
,Line Graph,Brazil,2024,0.5,,,,,,
,Line Graph,United Kingdom,1750,0,,,,,,
,Line Graph,United Kingdom,1800,0.05,,,,,,
,Line Graph,United Kingdom,1850,0.15,,,,,,
,Line Graph,United Kingdom,1900,0.45,,,,,,
,Line Graph,United Kingdom,1910,0.5,,,,,,
,Line Graph,United Kingdom,1920,0.4,,,,,,
,Line Graph,United Kingdom,1921,0.35,,,,,,
,Line Graph,United Kingdom,1926,0.3,,,,,,
,Line Graph,United Kingdom,1930,0.45,,,,,,
,Line Graph,United Kingdom,1940,0.45,,,,,,
,Line Graph,United Kingdom,1950,0.5,,,,,,
,Line Graph,United Kingdom,1960,0.6,,,,,,
,Line Graph,United Kingdom,1970,0.65,,,,,,
,Line Graph,United Kingdom,1980,0.6,,,,,,
,Line Graph,United Kingdom,1984,0.55,,,,,,
,Line Graph,United Kingdom,1990,0.6,,,,,,
,Line Graph,United Kingdom,2000,0.55,,,,,,
,Line Graph,United Kingdom,2010,0.5,,,,,,
,Line Graph,United Kingdom,2020,0.3,,,,,,
,Line Graph,United Kingdom,2024,0.3,,,,,,
,Line Graph,France,1800,0,,,,,,
,Line Graph,France,1850,0.05,,,,,,
,Line Graph,France,1900,0.15,,,,,,
,Line Graph,France,1920,0.15,,,,,,
,Line Graph,France,1930,0.2,,,,,,
,Line Graph,France,1940,0.15,,,,,,
,Line Graph,France,1950,0.2,,,,,,
,Line Graph,France,1960,0.3,,,,,,
,Line Graph,France,1970,0.45,,,,,,
,Line Graph,France,1980,0.5,,,,,,
,Line Graph,France,1990,0.4,,,,,,
,Line Graph,France,2000,0.4,,,,,,
,Line Graph,France,2010,0.35,,,,,,
,Line Graph,France,2020,0.25,,,,,,
,Line Graph,France,2024,0.25,,,,,,
