layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Sweden,1751,30,,,,,,
,Line Graph,Sweden,1760,27,,,,,,
,Line Graph,Sweden,1765,39,,,,,,
,Line Graph,Sweden,1773,49,,,,,,
,Line Graph,Sweden,1780,38,,,,,,
,Line Graph,Sweden,1790,27,,,,,,
,Line Graph,Sweden,1800,38,,,,,,
,Line Graph,Sweden,1810,27,,,,,,
,Line Graph,Sweden,1820,29,,,,,,
,Line Graph,Sweden,1830,22,,,,,,
,Line Graph,Sweden,1840,20,,,,,,
,Line Graph,Sweden,1850,21,,,,,,
,Line Graph,Sweden,1860,20,,,,,,
,Line Graph,Sweden,1870,18,,,,,,
,Line Graph,Sweden,1880,20,,,,,,
,Line Graph,Sweden,1890,16,,,,,,
,Line Graph,Sweden,1900,14,,,,,,
,Line Graph,Sweden,1910,10,,,,,,
,Line Graph,Sweden,1920,8,,,,,,
,Line Graph,Sweden,1930,7,,,,,,
,Line Graph,Sweden,1940,4,,,,,,
,Line Graph,Sweden,1950,2,,,,,,
,Line Graph,Sweden,1960,1.5,,,,,,
,Line Graph,Sweden,1980,0.8,,,,,,
,Line Graph,Sweden,2000,0.4,,,,,,
,Line Graph,Sweden,2023,0.2,,,,,,
,Line Graph,France,1816,28,,,,,,
,Line Graph,France,1820,31,,,,,,
,Line Graph,France,1830,30,,,,,,
,Line Graph,France,1840,28,,,,,,
,Line Graph,France,1850,26,,,,,,
,Line Graph,France,1860,35,,,,,,
,Line Graph,France,1871,34,,,,,,
,Line Graph,France,1880,24,,,,,,
,Line Graph,France,1890,23,,,,,,
,Line Graph,France,1900,20,,,,,,
,Line Graph,France,1910,16,,,,,,
,Line Graph,France,1918,22,,,,,,
,Line Graph,France,1930,10,,,,,,
,Line Graph,France,1940,11,,,,,,
,Line Graph,France,1945,13.5,,,,,,
,Line Graph,France,1950,5,,,,,,
,Line Graph,France,1960,3,,,,,,
,Line Graph,France,1980,1.5,,,,,,
,Line Graph,France,2000,0.6,,,,,,
,Line Graph,France,2023,0.4,,,,,,
,Line Graph,United Kingdom,1838,26,,,,,,
,Line Graph,United Kingdom,1850,25,,,,,,
,Line Graph,United Kingdom,1860,26,,,,,,
,Line Graph,United Kingdom,1870,26,,,,,,
,Line Graph,United Kingdom,1880,23,,,,,,
,Line Graph,United Kingdom,1890,23,,,,,,
,Line Graph,United Kingdom,1900,23,,,,,,
,Line Graph,United Kingdom,1910,16,,,,,,
,Line Graph,United Kingdom,1920,13,,,,,,
,Line Graph,United Kingdom,1930,9,,,,,,
,Line Graph,United Kingdom,1940,7,,,,,,
,Line Graph,United Kingdom,1950,4,,,,,,
,Line Graph,United Kingdom,1960,2.5,,,,,,
,Line Graph,United Kingdom,1980,1.5,,,,,,
,Line Graph,United Kingdom,2000,0.7,,,,,,
,Line Graph,United Kingdom,2023,0.4,,,,,,
,Line Graph,United States,1880,25,,,,,,
,Line Graph,United States,1890,24,,,,,,
,Line Graph,United States,1900,20,,,,,,
,Line Graph,United States,1910,15,,,,,,
,Line Graph,United States,1920,12,,,,,,
,Line Graph,United States,1930,9,,,,,,
,Line Graph,United States,1940,6,,,,,,
,Line Graph,United States,1950,4,,,,,,
,Line Graph,United States,1960,3,,,,,,
,Line Graph,United States,1980,1.5,,,,,,
,Line Graph,United States,2000,0.8,,,,,,
,Line Graph,United States,2023,0.6,,,,,,
,Line Graph,Brazil,1935,26,,,,,,
,Line Graph,Brazil,1940,25,,,,,,
,Line Graph,Brazil,1950,21,,,,,,
,Line Graph,Brazil,1960,16,,,,,,
,Line Graph,Brazil,1970,12,,,,,,
,Line Graph,Brazil,1980,8,,,,,,
,Line Graph,Brazil,1990,5,,,,,,
,Line Graph,Brazil,2000,3,,,,,,
,Line Graph,Brazil,2010,1.8,,,,,,
,Line Graph,Brazil,2023,1.4,,,,,,
,Line Graph,India,1912,34,,,,,,
,Line Graph,India,1918,43,,,,,,
,Line Graph,India,1920,32,,,,,,
,Line Graph,India,1930,28,,,,,,
,Line Graph,India,1940,26,,,,,,
,Line Graph,India,1950,27,,,,,,
,Line Graph,India,1960,24,,,,,,
,Line Graph,India,1970,21,,,,,,
,Line Graph,India,1980,16,,,,,,
,Line Graph,India,1990,12,,,,,,
,Line Graph,India,2000,9,,,,,,
,Line Graph,India,2010,6,,,,,,
,Line Graph,India,2023,3,,,,,,
,Line Graph,Ghana,1932,36,,,,,,
,Line Graph,Ghana,1940,31,,,,,,
,Line Graph,Ghana,1950,25,,,,,,
,Line Graph,Ghana,1960,21,,,,,,
,Line Graph,Ghana,1970,20,,,,,,
,Line Graph,Ghana,1980,16,,,,,,
,Line Graph,Ghana,1990,12,,,,,,
,Line Graph,Ghana,2000,10,,,,,,
,Line Graph,Ghana,2010,6,,,,,,
,Line Graph,Ghana,2023,3.5,,,,,,
