layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,United States,1800,0.0,,,,,,
,Line Graph,United States,1850,0.5,,,,,,
,Line Graph,United States,1860,1.0,,,,,,
,Line Graph,United States,1870,1.5,,,,,,
,Line Graph,United States,1880,3.0,,,,,,
,Line Graph,United States,1890,5.0,,,,,,
,Line Graph,United States,1900,8.0,,,,,,
,Line Graph,United States,1910,13.0,,,,,,
,Line Graph,United States,1920,17.0,,,,,,
,Line Graph,United States,1930,14.0,,,,,,
,Line Graph,United States,1940,15.0,,,,,,
,Line Graph,United States,1950,16.0,,,,,,
,Line Graph,United States,1960,16.5,,,,,,
,Line Graph,United States,1970,21.0,,,,,,
,Line Graph,United States,1980,20.0,,,,,,
,Line Graph,United States,1990,19.5,,,,,,
,Line Graph,United States,2000,21.0,,,,,,
,Line Graph,United States,2010,18.0,,,,,,
,Line Graph,United States,2020,14.0,,,,,,
,Line Graph,United States,2024,14.5,,,,,,
,Line Graph,Canada,1850,0.0,,,,,,
,Line Graph,Canada,1880,1.0,,,,,,
,Line Graph,Canada,1900,3.0,,,,,,
,Line Graph,Canada,1910,8.0,,,,,,
,Line Graph,Canada,1920,10.0,,,,,,
,Line Graph,Canada,1930,8.0,,,,,,
,Line Graph,Canada,1940,9.0,,,,,,
,Line Graph,Canada,1950,11.0,,,,,,
,Line Graph,Canada,1960,11.5,,,,,,
,Line Graph,Canada,1970,16.0,,,,,,
,Line Graph,Canada,1980,17.0,,,,,,
,Line Graph,Canada,1990,16.0,,,,,,
,Line Graph,Canada,2000,18.0,,,,,,
,Line Graph,Canada,2010,16.0,,,,,,
,Line Graph,Canada,2020,14.0,,,,,,
,Line Graph,Canada,2024,13.5,,,,,,
,Line Graph,China,1900,0.0,,,,,,
,Line Graph,China,1950,0.1,,,,,,
,Line Graph,China,1960,1.0,,,,,,
,Line Graph,China,1970,1.0,,,,,,
,Line Graph,China,1980,1.5,,,,,,
,Line Graph,China,1990,2.0,,,,,,
,Line Graph,China,2000,3.0,,,,,,
,Line Graph,China,2010,6.0,,,,,,
,Line Graph,China,2020,8.0,,,,,,
,Line Graph,China,2024,8.5,,,,,,
,Line Graph,South Africa,1890,0.0,,,,,,
,Line Graph,South Africa,1900,1.0,,,,,,
,Line Graph,South Africa,1910,2.0,,,,,,
