layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,United States,1990,44300,,,,,,
,Line Graph,United States,1991,43800,,,,,,
,Line Graph,United States,1992,44600,,,,,,
,Line Graph,United States,1993,45300,,,,,,
,Line Graph,United States,1994,46500,,,,,,
,Line Graph,United States,1995,47200,,,,,,
,Line Graph,United States,1996,48400,,,,,,
,Line Graph,United States,1997,50000,,,,,,
,Line Graph,United States,1998,51700,,,,,,
,Line Graph,United States,1999,53500,,,,,,
,Line Graph,United States,2000,55000,,,,,,
,Line Graph,United States,2001,55000,,,,,,
,Line Graph,United States,2002,55400,,,,,,
,Line Graph,United States,2003,56500,,,,,,
,Line Graph,United States,2004,58100,,,,,,
,Line Graph,United States,2005,59600,,,,,,
,Line Graph,United States,2006,60700,,,,,,
,Line Graph,United States,2007,61300,,,,,,
,Line Graph,United States,2008,60800,,,,,,
,Line Graph,United States,2009,58700,,,,,,
,Line Graph,United States,2010,59800,,,,,,
,Line Graph,United States,2011,60300,,,,,,
,Line Graph,United States,2012,61100,,,,,,
,Line Graph,United States,2013,61900,,,,,,
,Line Graph,United States,2014,63000,,,,,,
,Line Graph,United States,2015,64400,,,,,,
,Line Graph,United States,2016,65000,,,,,,
,Line Graph,United States,2017,66100,,,,,,
,Line Graph,United States,2018,67700,,,,,,
,Line Graph,United States,2019,69100,,,,,,
,Line Graph,United States,2020,67300,,,,,,
,Line Graph,United States,2021,71300,,,,,,
,Line Graph,United States,2022,72700,,,,,,
,Line Graph,United States,2023,74100,,,,,,
,Line Graph,United States,2024,75500,,,,,,
,Line Graph,Germany,1990,42200,,,,,,
,Line Graph,Germany,1991,44100,,,,,,
,Line Graph,Germany,1992,44700,,,,,,
,Line Graph,Germany,1993,44000,,,,,,
,Line Graph,Germany,1994,44900,,,,,,
,Line Graph,Germany,1995,45400,,,,,,
,Line Graph,Germany,1996,45800,,,,,,
,Line Graph,Germany,1997,46500,,,,,,
,Line Graph,Germany,1998,47500,,,,,,
,Line Graph,Germany,1999,48400,,,,,,
,Line Graph,Germany,2000,49900,,,,,,
,Line Graph,Germany,2001,50600,,,,,,
,Line Graph,Germany,2002,50400,,,,,,
,Line Graph,Germany,2003,50100,,,,,,
,Line Graph,Germany,2004,50700,,,,,,
,Line Graph,Germany,2005,51200,,,,,,
,Line Graph,Germany,2006,53100,,,,,,
,Line Graph,Germany,2007,54800,,,,,,
,Line Graph,Germany,2008,55400,,,,,,
,Line Graph,Germany,2009,52500,,,,,,
,Line Graph,Germany,2010,54700,,,,,,
,Line Graph,Germany,2011,57900,,,,,,
,Line Graph,Germany,2012,58000,,,,,,
,Line Graph,Germany,2013,58100,,,,,,
,Line Graph,Germany,2014,59100,,,,,,
,Line Graph,Germany,2015,59600,,,,,,
,Line Graph,Germany,2016,60400,,,,,,
,Line Graph,Germany,2017,61800,,,,,,
,Line Graph,Germany,2018,62300,,,,,,
,Line Graph,Germany,2019,62900,,,,,,
,Line Graph,Germany,2020,60200,,,,,,
,Line Graph,Germany,2021,62600,,,,,,
,Line Graph,Germany,2022,63700,,,,,,
,Line Graph,Germany,2023,63000,,,,,,
,Line Graph,Germany,2024,62600,,,,,,
,Line Graph,South Korea,1990,14400,,,,,,
,Line Graph,South Korea,1991,15800,,,,,,
,Line Graph,South Korea,1992,16500,,,,,,
