layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Area Chart,Modern biofuels,1800,5600,,,,,,
,Area Chart,Modern biofuels,1850,8000,,,,,,
,Area Chart,Modern biofuels,1900,12200,,,,,,
,Area Chart,Modern biofuels,1925,20500,,,,,,
,Area Chart,Modern biofuels,1950,28000,,,,,,
,Area Chart,Modern biofuels,1975,80000,,,,,,
,Area Chart,Modern biofuels,2000,124000,,,,,,
,Area Chart,Modern biofuels,2005,135500,,,,,,
,Area Chart,Modern biofuels,2010,148000,,,,,,
,Area Chart,Modern biofuels,2015,156000,,,,,,
,Area Chart,Modern biofuels,2020,165000,,,,,,
,Area Chart,Modern biofuels,2024,169000,,,,,,
,Area Chart,Other renewables,1800,5600,,,,,,
,Area Chart,Other renewables,1850,8000,,,,,,
,Area Chart,Other renewables,1900,12200,,,,,,
,Area Chart,Other renewables,1925,20500,,,,,,
,Area Chart,Other renewables,1950,28000,,,,,,
,Area Chart,Other renewables,1975,80000,,,,,,
,Area Chart,Other renewables,2000,123000,,,,,,
,Area Chart,Other renewables,2005,134500,,,,,,
,Area Chart,Other renewables,2010,147000,,,,,,
,Area Chart,Other renewables,2015,155000,,,,,,
,Area Chart,Other renewables,2020,164000,,,,,,
,Area Chart,Other renewables,2024,168000,,,,,,
,Area Chart,Solar,1800,5600,,,,,,
,Area Chart,Solar,1850,8000,,,,,,
,Area Chart,Solar,1900,12200,,,,,,
,Area Chart,Solar,1925,20500,,,,,,
,Area Chart,Solar,1950,28000,,,,,,
,Area Chart,Solar,1975,80000,,,,,,
,Area Chart,Solar,2000,122200,,,,,,
,Area Chart,Solar,2005,133500,,,,,,
,Area Chart,Solar,2010,146200,,,,,,
,Area Chart,Solar,2015,154000,,,,,,
,Area Chart,Solar,2020,163000,,,,,,
,Area Chart,Solar,2024,167000,,,,,,
,Area Chart,Wind,1800,5600,,,,,,
,Area Chart,Wind,1850,8000,,,,,,
,Area Chart,Wind,1900,12200,,,,,,
,Area Chart,Wind,1925,20500,,,,,,
,Area Chart,Wind,1950,28000,,,,,,
,Area Chart,Wind,1975,80000,,,,,,
,Area Chart,Wind,2000,122200,,,,,,
,Area Chart,Wind,2005,133500,,,,,,
,Area Chart,Wind,2010,146000,,,,,,
,Area Chart,Wind,2015,153000,,,,,,
,Area Chart,Wind,2020,161000,,,,,,
,Area Chart,Wind,2024,164000,,,,,,
,Area Chart,Hydropower,1800,5600,,,,,,
,Area Chart,Hydropower,1850,8000,,,,,,
,Area Chart,Hydropower,1900,12200,,,,,,
,Area Chart,Hydropower,1925,20500,,,,,,
,Area Chart,Hydropower,1950,28000,,,,,,
,Area Chart,Hydropower,1975,80000,,,,,,
,Area Chart,Hydropower,2000,122000,,,,,,
,Area Chart,Hydropower,2005,133000,,,,,,
,Area Chart,Hydropower,2010,145000,,,,,,
,Area Chart,Hydropower,2015,151000,,,,,,
,Area Chart,Hydropower,2020,158000,,,,,,
,Area Chart,Hydropower,2024,160000,,,,,,
,Area Chart,Nuclear,1800,5600,,,,,,
,Area Chart,Nuclear,1850,8000,,,,,,
,Area Chart,Nuclear,1900,12200,,,,,,
,Area Chart,Nuclear,1925,20000,,,,,,
,Area Chart,Nuclear,1950,27000,,,,,,
,Area Chart,Nuclear,1975,76000,,,,,,
,Area Chart,Nuclear,2000,118000,,,,,,
,Area Chart,Nuclear,2005,128000,,,,,,
,Area Chart,Nuclear,2010,140000,,,,,,
,Area Chart,Nuclear,2015,145000,,,,,,
,Area Chart,Nuclear,2020,152000,,,,,,
,Area Chart,Nuclear,2024,155000,,,,,,
,Area Chart,Gas,1800,5600,,,,,,
,Area Chart,Gas,1850,8000,,,,,,
,Area Chart,Gas,1900,12200,,,,,,
,Area Chart,Gas,1925,20000,,,,,,
,Area Chart,Gas,1950,27000,,,,,,
,Area Chart,Gas,1975,74000,,,,,,
,Area Chart,Gas,2000,110000,,,,,,
,Area Chart,Gas,2005,120000,,,,,,
,Area Chart,Gas,2010,132000,,,,,,
,Area Chart,Gas,2015,138000,,,,,,
,Area Chart,Gas,2020,145000,,,,,,
