layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Bubble Chart,Africa,750,53,,,,,,
,Bubble Chart,Africa,1100,59,,,,,,
,Bubble Chart,Africa,1400,53,,,,,,
,Bubble Chart,Africa,2000,59,,,,,,
,Bubble Chart,Africa,2500,53,,,,,,
,Bubble Chart,Africa,1500,63,,,,,,
,Bubble Chart,Africa,2500,65,,,,,,
,Bubble Chart,Africa,4000,62,,,,,,
,Bubble Chart,Africa,5000,53,,,,,,
,Bubble Chart,Africa,6000,62,,,,,,
,Bubble Chart,Africa,13000,62,,,,,,
,Bubble Chart,Africa,25000,60,,,,,,
,Bubble Chart,Africa,12000,76,,,,,,
,Bubble Chart,Africa,900,60,,,,,,
,Bubble Chart,Africa,1200,58,,,,,,
,Bubble Chart,Africa,3000,60,,,,,,
,Bubble Chart,Africa,4000,68,,,,,,
,Bubble Chart,Africa,8000,64,,,,,,
,Bubble Chart,Asia,1800,73,,,,,,
,Bubble Chart,Asia,5000,74,,,,,,
,Bubble Chart,Asia,5500,66,,,,,,
,Bubble Chart,Asia,7500,72,,,,,,
,Bubble Chart,Asia,12000,68,,,,,,
,Bubble Chart,Asia,18000,78,,,,,,
,Bubble Chart,Asia,40000,84,,,,,,
,Bubble Chart,Asia,3000,69,,,,,,
,Bubble Chart,Asia,9000,76,,,,,,
,Bubble Chart,Asia,15000,72,,,,,,
,Bubble Chart,Asia,30000,77,,,,,,
,Bubble Chart,Asia,50000,83,,,,,,
,Bubble Chart,Asia,110000,84,,,,,,
,Bubble Chart,Europe,25000,70,,,,,,
,Bubble Chart,Europe,15000,75,,,,,,
,Bubble Chart,Europe,35000,82,,,,,,
,Bubble Chart,Europe,45000,81,,,,,,
,Bubble Chart,Europe,55000,83,,,,,,
,Bubble Chart,North America,65000,77,,,,,,
,Bubble Chart,North America,10000,72,,,,,,
,Bubble Chart,North America,40000,80,,,,,,
,Bubble Chart,South America,12000,74,,,,,,
,Bubble Chart,South America,15000,76,,,,,,
,Bubble Chart,South America,20000,75,,,,,,
