layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Oceania,1770,34.7,,,,,,
,Line Graph,Oceania,1870,35.1,,,,,,
,Line Graph,Oceania,1900,47.6,,,,,,
,Line Graph,Oceania,1913,51.0,,,,,,
,Line Graph,Oceania,1950,60.4,,,,,,
,Line Graph,Oceania,1960,65.2,,,,,,
,Line Graph,Oceania,1970,67.8,,,,,,
,Line Graph,Oceania,1980,70.5,,,,,,
,Line Graph,Oceania,1990,73.2,,,,,,
,Line Graph,Oceania,2000,75.4,,,,,,
,Line Graph,Oceania,2010,77.5,,,,,,
,Line Graph,Oceania,2020,78.8,,,,,,
,Line Graph,Oceania,2023,79.1,,,,,,
,Line Graph,Europe,1770,34.3,,,,,,
,Line Graph,Europe,1800,33.3,,,,,,
,Line Graph,Europe,1820,35.6,,,,,,
,Line Graph,Europe,1850,36.3,,,,,,
,Line Graph,Europe,1870,36.2,,,,,,
,Line Graph,Europe,1900,42.7,,,,,,
,Line Graph,Europe,1913,46.8,,,,,,
,Line Graph,Europe,1950,61.9,,,,,,
,Line Graph,Europe,1960,69.1,,,,,,
,Line Graph,Europe,1970,70.7,,,,,,
,Line Graph,Europe,1980,71.8,,,,,,
,Line Graph,Europe,1990,72.8,,,,,,
,Line Graph,Europe,2000,73.5,,,,,,
,Line Graph,Europe,2010,76.2,,,,,,
,Line Graph,Europe,2020,77.7,,,,,,
,Line Graph,Europe,2023,79.1,,,,,,
,Line Graph,Americas,1770,34.7,,,,,,
,Line Graph,Americas,1830,34.8,,,,,,
,Line Graph,Americas,1850,35.1,,,,,,
,Line Graph,Americas,1870,35.1,,,,,,
,Line Graph,Americas,1900,41.0,,,,,,
,Line Graph,Americas,1913,45.1,,,,,,
,Line Graph,Americas,1950,56.6,,,,,,
,Line Graph,Americas,1960,60.5,,,,,,
,Line Graph,Americas,1970,63.6,,,,,,
,Line Graph,Americas,1980,68.0,,,,,,
,Line Graph,Americas,1990,71.0,,,,,,
,Line Graph,Americas,2000,73.5,,,,,,
,Line Graph,Americas,2010,75.8,,,,,,
,Line Graph,Americas,2020,76.5,,,,,,
,Line Graph,Americas,2023,77.2,,,,,,
,Line Graph,Asia,1770,27.5,,,,,,
,Line Graph,Asia,1885,27.5,,,,,,
,Line Graph,Asia,1900,28.0,,,,,,
,Line Graph,Asia,1913,28.1,,,,,,
,Line Graph,Asia,1950,41.9,,,,,,
,Line Graph,Asia,1960,41.3,,,,,,
,Line Graph,Asia,1970,53.6,,,,,,
,Line Graph,Asia,1980,60.1,,,,,,
,Line Graph,Asia,1990,64.6,,,,,,
,Line Graph,Asia,2000,67.5,,,,,,
,Line Graph,Asia,2010,71.0,,,,,,
,Line Graph,Asia,2020,73.5,,,,,,
,Line Graph,Asia,2023,74.6,,,,,,
,Line Graph,World,1770,28.5,,,,,,
,Line Graph,World,1800,28.5,,,,,,
,Line Graph,World,1820,29.0,,,,,,
,Line Graph,World,1850,29.3,,,,,,
,Line Graph,World,1870,29.7,,,,,,
,Line Graph,World,1900,32.0,,,,,,
,Line Graph,World,1913,34.1,,,,,,
,Line Graph,World,1950,46.5,,,,,,
,Line Graph,World,1960,49.8,,,,,,
,Line Graph,World,1970,56.4,,,,,,
,Line Graph,World,1980,61.3,,,,,,
,Line Graph,World,1990,64.2,,,,,,
,Line Graph,World,2000,66.5,,,,,,
,Line Graph,World,2010,70.1,,,,,,
,Line Graph,World,2020,72.0,,,,,,
,Line Graph,World,2023,73.2,,,,,,
,Line Graph,Africa,1770,26.4,,,,,,
,Line Graph,Africa,1925,26.4,,,,,,
,Line Graph,Africa,1950,37.1,,,,,,
,Line Graph,Africa,1960,41.3,,,,,,
,Line Graph,Africa,1970,45.4,,,,,,
,Line Graph,Africa,1980,49.6,,,,,,
,Line Graph,Africa,1990,51.6,,,,,,
,Line Graph,Africa,2000,53.3,,,,,,
,Line Graph,Africa,2010,58.7,,,,,,
,Line Graph,Africa,2020,62.4,,,,,,
,Line Graph,Africa,2023,63.8,,,,,,
