layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,World,-10000,0.01,,,,,,
,Line Graph,World,-8000,0.01,,,,,,
,Line Graph,World,-6000,0.01,,,,,,
,Line Graph,World,-4000,0.02,,,,,,
,Line Graph,World,-2000,0.05,,,,,,
,Line Graph,World,0,0.2,,,,,,
,Line Graph,World,1000,0.3,,,,,,
,Line Graph,World,1500,0.5,,,,,,
,Line Graph,World,1800,1.0,,,,,,
,Line Graph,World,1900,1.6,,,,,,
,Line Graph,World,1950,2.5,,,,,,
,Line Graph,World,1980,4.4,,,,,,
,Line Graph,World,2000,6.1,,,,,,
,Line Graph,World,2010,6.9,,,,,,
,Line Graph,World,2023,8.0,,,,,,
,Line Graph,Asia,-10000,0,,,,,,
,Line Graph,Asia,-8000,0,,,,,,
,Line Graph,Asia,-6000,0,,,,,,
,Line Graph,Asia,-4000,0.01,,,,,,
,Line Graph,Asia,-2000,0.03,,,,,,
,Line Graph,Asia,0,0.15,,,,,,
,Line Graph,Asia,1000,0.2,,,,,,
,Line Graph,Asia,1500,0.3,,,,,,
,Line Graph,Asia,1800,0.65,,,,,,
,Line Graph,Asia,1900,0.9,,,,,,
,Line Graph,Asia,1950,1.4,,,,,,
,Line Graph,Asia,1980,2.6,,,,,,
,Line Graph,Asia,2000,3.7,,,,,,
,Line Graph,Asia,2010,4.2,,,,,,
,Line Graph,Asia,2023,4.7,,,,,,
,Line Graph,Africa,-10000,0,,,,,,
,Line Graph,Africa,-8000,0,,,,,,
,Line Graph,Africa,-6000,0,,,,,,
,Line Graph,Africa,-4000,0,,,,,,
,Line Graph,Africa,-2000,0.01,,,,,,
,Line Graph,Africa,0,0.03,,,,,,
,Line Graph,Africa,1000,0.05,,,,,,
,Line Graph,Africa,1500,0.1,,,,,,
,Line Graph,Africa,1800,0.1,,,,,,
,Line Graph,Africa,1900,0.15,,,,,,
,Line Graph,Africa,1950,0.25,,,,,,
,Line Graph,Africa,1980,0.5,,,,,,
,Line Graph,Africa,2000,0.8,,,,,,
,Line Graph,Africa,2010,1.0,,,,,,
,Line Graph,Africa,2023,1.4,,,,,,
,Line Graph,Europe,-10000,0,,,,,,
,Line Graph,Europe,-8000,0,,,,,,
,Line Graph,Europe,-6000,0,,,,,,
,Line Graph,Europe,-4000,0,,,,,,
,Line Graph,Europe,-2000,0.01,,,,,,
,Line Graph,Europe,0,0.03,,,,,,
,Line Graph,Europe,1000,0.05,,,,,,
,Line Graph,Europe,1500,0.1,,,,,,
,Line Graph,Europe,1800,0.2,,,,,,
,Line Graph,Europe,1900,0.4,,,,,,
,Line Graph,Europe,1950,0.55,,,,,,
,Line Graph,Europe,1980,0.65,,,,,,
,Line Graph,Europe,2000,0.7,,,,,,
,Line Graph,Europe,2010,0.73,,,,,,
,Line Graph,Europe,2023,0.75,,,,,,
,Line Graph,North America,-10000,0,,,,,,
,Line Graph,North America,-8000,0,,,,,,
,Line Graph,North America,-6000,0,,,,,,
,Line Graph,North America,-4000,0,,,,,,
,Line Graph,North America,-2000,0,,,,,,
,Line Graph,North America,0,0,,,,,,
,Line Graph,North America,1000,0,,,,,,
,Line Graph,North America,1500,0,,,,,,
,Line Graph,North America,1800,0.01,,,,,,
,Line Graph,North America,1900,0.1,,,,,,
,Line Graph,North America,1950,0.2,,,,,,
,Line Graph,North America,1980,0.3,,,,,,
,Line Graph,North America,2000,0.4,,,,,,
,Line Graph,North America,2010,0.5,,,,,,
,Line Graph,North America,2023,0.6,,,,,,
,Line Graph,South America,-10000,0,,,,,,
,Line Graph,South America,-8000,0,,,,,,
,Line Graph,South America,-6000,0,,,,,,
,Line Graph,South America,-4000,0,,,,,,
,Line Graph,South America,-2000,0,,,,,,
,Line Graph,South America,0,0,,,,,,
,Line Graph,South America,1000,0,,,,,,
,Line Graph,South America,1500,0,,,,,,
,Line Graph,South America,1800,0.02,,,,,,
,Line Graph,South America,1900,0.05,,,,,,
,Line Graph,South America,1950,0.1,,,,,,
,Line Graph,South America,1980,0.25,,,,,,
,Line Graph,South America,2000,0.35,,,,,,
,Line Graph,South America,2010,0.4,,,,,,
,Line Graph,South America,2023,0.45,,,,,,
,Line Graph,Oceania,-10000,0,,,,,,
,Line Graph,Oceania,-8000,0,,,,,,
,Line Graph,Oceania,-6000,0,,,,,,
,Line Graph,Oceania,-4000,0,,,,,,
,Line Graph,Oceania,-2000,0,,,,,,
,Line Graph,Oceania,0,0,,,,,,
,Line Graph,Oceania,1000,0,,,,,,
,Line Graph,Oceania,1500,0,,,,,,
,Line Graph,Oceania,1800,0,,,,,,
,Line Graph,Oceania,1900,0.01,,,,,,
,Line Graph,Oceania,1950,0.01,,,,,,
,Line Graph,Oceania,1980,0.02,,,,,,
,Line Graph,Oceania,2000,0.03,,,,,,
,Line Graph,Oceania,2010,0.03,,,,,,
,Line Graph,Oceania,2023,0.04,,,,,,
