layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Sweden,1985,95.5,,,,,,
,Line Graph,Sweden,1986,95.5,,,,,,
,Line Graph,Sweden,1987,96,,,,,,
,Line Graph,Sweden,1988,96.5,,,,,,
,Line Graph,Sweden,1989,97.5,,,,,,
,Line Graph,Sweden,1990,97.5,,,,,,
,Line Graph,Sweden,1991,96,,,,,,
,Line Graph,Sweden,1992,95.5,,,,,,
,Line Graph,Sweden,1993,95,,,,,,
,Line Graph,Sweden,1994,94,,,,,,
,Line Graph,Sweden,1995,94.5,,,,,,
,Line Graph,Sweden,1996,91.5,,,,,,
,Line Graph,Sweden,1997,94.5,,,,,,
,Line Graph,Sweden,1998,95,,,,,,
,Line Graph,Sweden,1999,95,,,,,,
,Line Graph,Sweden,2000,96.5,,,,,,
,Line Graph,Sweden,2001,96,,,,,,
,Line Graph,Sweden,2002,95,,,,,,
,Line Graph,Sweden,2003,93,,,,,,
,Line Graph,Sweden,2004,95.5,,,,,,
,Line Graph,Sweden,2005,96.5,,,,,,
,Line Graph,Sweden,2006,96,,,,,,
,Line Graph,Sweden,2007,96.5,,,,,,
,Line Graph,Sweden,2008,96.5,,,,,,
,Line Graph,Sweden,2009,96,,,,,,
,Line Graph,Sweden,2010,94,,,,,,
,Line Graph,Sweden,2011,95.5,,,,,,
,Line Graph,Sweden,2012,97,,,,,,
,Line Graph,Sweden,2013,97,,,,,,
,Line Graph,Sweden,2014,98,,,,,,
,Line Graph,Sweden,2015,98,,,,,,
,Line Graph,Sweden,2016,97.5,,,,,,
,Line Graph,Sweden,2017,97.5,,,,,,
,Line Graph,Sweden,2018,97.5,,,,,,
,Line Graph,Sweden,2019,98,,,,,,
,Line Graph,Sweden,2020,98.5,,,,,,
,Line Graph,Sweden,2021,98,,,,,,
,Line Graph,Sweden,2022,98,,,,,,
,Line Graph,Sweden,2023,98.5,,,,,,
,Line Graph,Sweden,2024,98.5,,,,,,
,Line Graph,Sweden,2025,98.5,,,,,,
,Line Graph,Sweden,2026,98.5,,,,,,
,Line Graph,France,1985,83.5,,,,,,
,Line Graph,France,1986,87.5,,,,,,
,Line Graph,France,1987,89,,,,,,
,Line Graph,France,1988,90,,,,,,
,Line Graph,France,1989,87,,,,,,
,Line Graph,France,1990,88.5,,,,,,
,Line Graph,France,1991,86.5,,,,,,
,Line Graph,France,1992,89,,,,,,
,Line Graph,France,1993,92.5,,,,,,
,Line Graph,France,1994,93,,,,,,
,Line Graph,France,1995,92,,,,,,
,Line Graph,France,1996,91.5,,,,,,
,Line Graph,France,1997,92,,,,,,
,Line Graph,France,1998,89,,,,,,
,Line Graph,France,1999,90,,,,,,
,Line Graph,France,2000,90.5,,,,,,
,Line Graph,France,2001,91.5,,,,,,
,Line Graph,France,2002,90.5,,,,,,
,Line Graph,France,2003,90,,,,,,
,Line Graph,France,2004,90.5,,,,,,
,Line Graph,France,2005,89,,,,,,
,Line Graph,France,2006,90,,,,,,
,Line Graph,France,2007,89.5,,,,,,
,Line Graph,France,2008,90,,,,,,
,Line Graph,France,2009,90.5,,,,,,
,Line Graph,France,2010,89.5,,,,,,
,Line Graph,France,2011,89.5,,,,,,
,Line Graph,France,2012,90,,,,,,
,Line Graph,France,2013,90.5,,,,,,
,Line Graph,France,2014,93.5,,,,,,
