layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,North America (WB),2004.5,68.3,,,,,,
,Line Graph,North America (WB),2005.5,69.4,,,,,,
,Line Graph,North America (WB),2006.5,74.9,,,,,,
,Line Graph,North America (WB),2007.5,74.4,,,,,,
,Line Graph,North America (WB),2008.5,71.9,,,,,,
,Line Graph,North America (WB),2009.5,72.5,,,,,,
,Line Graph,North America (WB),2010.5,71.0,,,,,,
,Line Graph,North America (WB),2011.5,75.6,,,,,,
,Line Graph,North America (WB),2012.5,72.8,,,,,,
,Line Graph,North America (WB),2013.5,74.5,,,,,,
,Line Graph,North America (WB),2014.5,76.2,,,,,,
,Line Graph,North America (WB),2015.5,86.1,,,,,,
,Line Graph,North America (WB),2016.5,87.8,,,,,,
,Line Graph,North America (WB),2017.5,89.1,,,,,,
,Line Graph,North America (WB),2018.5,89.7,,,,,,
,Line Graph,North America (WB),2019.5,90.5,,,,,,
,Line Graph,North America (WB),2020.5,91.6,,,,,,
,Line Graph,North America (WB),2021.5,92.6,,,,,,
,Line Graph,North America (WB),2022.5,93.4,,,,,,
,Line Graph,North America (WB),2023.5,94.4,,,,,,
,Line Graph,North America (WB),2024.5,95.5,,,,,,
,Line Graph,Europe and Central Asia (WB),2004.5,34.7,,,,,,
,Line Graph,Europe and Central Asia (WB),2005.5,38.0,,,,,,
,Line Graph,Europe and Central Asia (WB),2006.5,43.7,,,,,,
,Line Graph,Europe and Central Asia (WB),2007.5,48.1,,,,,,
,Line Graph,Europe and Central Asia (WB),2008.5,52.7,,,,,,
,Line Graph,Europe and Central Asia (WB),2009.5,57.0,,,,,,
,Line Graph,Europe and Central Asia (WB),2010.5,60.3,,,,,,
,Line Graph,Europe and Central Asia (WB),2011.5,63.8,,,,,,
,Line Graph,Europe and Central Asia (WB),2012.5,66.0,,,,,,
,Line Graph,Europe and Central Asia (WB),2013.5,68.8,,,,,,
,Line Graph,Europe and Central Asia (WB),2014.5,69.8,,,,,,
,Line Graph,Europe and Central Asia (WB),2015.5,72.2,,,,,,
,Line Graph,Europe and Central Asia (WB),2016.5,74.6,,,,,,
,Line Graph,Europe and Central Asia (WB),2017.5,78.2,,,,,,
,Line Graph,Europe and Central Asia (WB),2018.5,80.4,,,,,,
,Line Graph,Europe and Central Asia (WB),2019.5,83.4,,,,,,
,Line Graph,Europe and Central Asia (WB),2020.5,86.3,,,,,,
,Line Graph,Europe and Central Asia (WB),2021.5,87.9,,,,,,
,Line Graph,Europe and Central Asia (WB),2022.5,89.6,,,,,,
,Line Graph,Europe and Central Asia (WB),2023.5,90.9,,,,,,
,Line Graph,Europe and Central Asia (WB),2024.5,92.4,,,,,,
,Line Graph,East Asia and Pacific (WB),2004.5,14.7,,,,,,
,Line Graph,East Asia and Pacific (WB),2005.5,16.6,,,,,,
,Line Graph,East Asia and Pacific (WB),2006.5,20.8,,,,,,
,Line Graph,East Asia and Pacific (WB),2007.5,25.1,,,,,,
,Line Graph,East Asia and Pacific (WB),2008.5,29.6,,,,,,
,Line Graph,East Asia and Pacific (WB),2009.5,34.3,,,,,,
,Line Graph,East Asia and Pacific (WB),2010.5,37.2,,,,,,
,Line Graph,East Asia and Pacific (WB),2011.5,40.4,,,,,,
,Line Graph,East Asia and Pacific (WB),2012.5,43.2,,,,,,
,Line Graph,East Asia and Pacific (WB),2013.5,45.4,,,,,,
,Line Graph,East Asia and Pacific (WB),2014.5,48.2,,,,,,
,Line Graph,East Asia and Pacific (WB),2015.5,53.9,,,,,,
,Line Graph,East Asia and Pacific (WB),2016.5,57.8,,,,,,
,Line Graph,East Asia and Pacific (WB),2017.5,62.4,,,,,,
,Line Graph,East Asia and Pacific (WB),2018.5,67.0,,,,,,
,Line Graph,East Asia and Pacific (WB),2019.5,73.9,,,,,,
,Line Graph,East Asia and Pacific (WB),2020.5,78.8,,,,,,
,Line Graph,East Asia and Pacific (WB),2021.5,82.5,,,,,,
,Line Graph,East Asia and Pacific (WB),2022.5,84.9,,,,,,
,Line Graph,East Asia and Pacific (WB),2023.5,86.5,,,,,,
,Line Graph,East Asia and Pacific (WB),2024.5,88.4,,,,,,
,Line Graph,Latin America and Caribbean (WB),2004.5,16.6,,,,,,
,Line Graph,Latin America and Caribbean (WB),2005.5,20.7,,,,,,
,Line Graph,Latin America and Caribbean (WB),2006.5,23.7,,,,,,
,Line Graph,Latin America and Caribbean (WB),2007.5,26.4,,,,,,
,Line Graph,Latin America and Caribbean (WB),2008.5,31.0,,,,,,
,Line Graph,Latin America and Caribbean (WB),2009.5,34.7,,,,,,
,Line Graph,Latin America and Caribbean (WB),2010.5,39.3,,,,,,
,Line Graph,Latin America and Caribbean (WB),2011.5,43.0,,,,,,
,Line Graph,Latin America and Caribbean (WB),2012.5,46.1,,,,,,
,Line Graph,Latin America and Caribbean (WB),2013.5,48.8,,,,,,
,Line Graph,Latin America and Caribbean (WB),2014.5,54.4,,,,,,
,Line Graph,Latin America and Caribbean (WB),2015.5,57.5,,,,,,
,Line Graph,Latin America and Caribbean (WB),2016.5,60.4,,,,,,
,Line Graph,Latin America and Caribbean (WB),2017.5,63.5,,,,,,
,Line Graph,Latin America and Caribbean (WB),2018.5,67.7,,,,,,
,Line Graph,Latin America and Caribbean (WB),2019.5,73.8,,,,,,
,Line Graph,Latin America and Caribbean (WB),2020.5,75.8,,,,,,
,Line Graph,Latin America and Caribbean (WB),2021.5,77.1,,,,,,
,Line Graph,Latin America and Caribbean (WB),2022.5,80.0,,,,,,
,Line Graph,Latin America and Caribbean (WB),2023.5,81.7,,,,,,
,Line Graph,Latin America and Caribbean (WB),2024.5,83.7,,,,,,
,Line Graph,World,2004.5,15.7,,,,,,
,Line Graph,World,2005.5,17.2,,,,,,
,Line Graph,World,2006.5,20.2,,,,,,
,Line Graph,World,2007.5,22.7,,,,,,
,Line Graph,World,2008.5,25.2,,,,,,
,Line Graph,World,2009.5,28.4,,,,,,
,Line Graph,World,2010.5,30.9,,,,,,
,Line Graph,World,2011.5,33.3,,,,,,
,Line Graph,World,2012.5,35.2,,,,,,
,Line Graph,World,2013.5,37.3,,,,,,
,Line Graph,World,2014.5,39.9,,,,,,
,Line Graph,World,2015.5,43.7,,,,,,
,Line Graph,World,2016.5,46.3,,,,,,
,Line Graph,World,2017.5,49.4,,,,,,
,Line Graph,World,2018.5,53.9,,,,,,
,Line Graph,World,2019.5,60.2,,,,,,
,Line Graph,World,2020.5,63.8,,,,,,
,Line Graph,World,2021.5,66.9,,,,,,
,Line Graph,World,2022.5,69.2,,,,,,
,Line Graph,World,2023.5,71.1,,,,,,
,Line Graph,World,2024.5,73.4,,,,,,
