layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Scatter Plot,Series A,1.5,2.8,,,,,,
,Scatter Plot,Series A,1.8,4.4,,,,,,
,Scatter Plot,Series A,2.4,3.8,,,,,,
,Scatter Plot,Series A,2.4,4.4,,,,,,
,Scatter Plot,Series A,3.1,3.5,,,,,,
,Scatter Plot,Series A,3.5,5.0,,,,,,
,Scatter Plot,Series A,4.4,4.9,,,,,,
,Scatter Plot,Series A,5.1,6.2,,,,,,
,Scatter Plot,Series A,5.4,6.2,,,,,,
,Scatter Plot,Series A,5.7,7.0,,,,,,
,Scatter Plot,Series A,6.5,7.2,,,,,,
,Scatter Plot,Series A,6.7,7.7,,,,,,
,Scatter Plot,Series A,7.6,8.4,,,,,,
,Scatter Plot,Series A,7.8,8.7,,,,,,
,Scatter Plot,Series A,9.2,9.0,,,,,,
,Scatter Plot,Series B,1.4,4.8,,,,,,
,Scatter Plot,Series B,1.8,4.2,,,,,,
,Scatter Plot,Series B,1.8,5.0,,,,,,
,Scatter Plot,Series B,2.8,4.1,,,,,,
,Scatter Plot,Series B,3.5,5.6,,,,,,
,Scatter Plot,Series B,3.9,4.5,,,,,,
,Scatter Plot,Series B,4.2,5.4,,,,,,
,Scatter Plot,Series B,5.0,5.6,,,,,,
,Scatter Plot,Series B,5.9,5.1,,,,,,
,Scatter Plot,Series B,7.2,7.0,,,,,,
,Scatter Plot,Series B,9.2,7.5,,,,,,
,Scatter Plot,Series B,9.7,7.9,,,,,,
,Scatter Plot,Series C,2.4,5.9,,,,,,
,Scatter Plot,Series C,2.5,5.7,,,,,,
,Scatter Plot,Series C,2.6,6.2,,,,,,
,Scatter Plot,Series C,2.9,4.9,,,,,,
,Scatter Plot,Series C,3.6,4.7,,,,,,
,Scatter Plot,Series C,6.4,4.4,,,,,,
,Scatter Plot,Series C,7.1,5.1,,,,,,
,Scatter Plot,Series C,7.2,4.4,,,,,,
,Scatter Plot,Series C,7.8,4.1,,,,,,
,Scatter Plot,Series C,8.2,4.5,,,,,,
