layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Exponential: 100 e^(-0.5 t),0.5,77.88,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),1.0,60.65,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),1.5,47.24,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),2.0,36.79,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),2.5,28.65,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),3.0,22.31,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),3.5,17.38,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),4.0,13.53,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),4.5,10.54,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),5.0,8.21,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),5.5,6.39,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),6.0,4.98,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),6.5,3.88,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),7.0,3.02,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),7.5,2.35,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),8.0,1.83,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),8.5,1.43,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),9.0,1.11,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),9.5,0.87,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),10.0,0.67,,,,,,
,Line Graph,Power law: 500 / t^1.6,0.65,1000,,,,,,
,Line Graph,Power law: 500 / t^1.6,1.0,500,,,,,,
,Line Graph,Power law: 500 / t^1.6,1.5,261.3,,,,,,
,Line Graph,Power law: 500 / t^1.6,2.0,164.9,,,,,,
,Line Graph,Power law: 500 / t^1.6,2.5,115.4,,,,,,
,Line Graph,Power law: 500 / t^1.6,3.0,86.1,,,,,,
,Line Graph,Power law: 500 / t^1.6,3.5,67.3,,,,,,
,Line Graph,Power law: 500 / t^1.6,4.0,54.4,,,,,,
,Line Graph,Power law: 500 / t^1.6,4.5,45.1,,,,,,
,Line Graph,Power law: 500 / t^1.6,5.0,38.1,,,,,,
,Line Graph,Power law: 500 / t^1.6,5.5,32.7,,,,,,
,Line Graph,Power law: 500 / t^1.6,6.0,28.4,,,,,,
,Line Graph,Power law: 500 / t^1.6,6.5,25.0,,,,,,
,Line Graph,Power law: 500 / t^1.6,7.0,22.2,,,,,,
,Line Graph,Power law: 500 / t^1.6,7.5,19.9,,,,,,
,Line Graph,Power law: 500 / t^1.6,8.0,17.9,,,,,,
,Line Graph,Power law: 500 / t^1.6,8.5,16.3,,,,,,
,Line Graph,Power law: 500 / t^1.6,9.0,14.9,,,,,,
,Line Graph,Power law: 500 / t^1.6,9.5,13.6,,,,,,
,Line Graph,Power law: 500 / t^1.6,10.0,12.6,,,,,,
