layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Scatter Plot,Measurement,2,8.2,,,,,,
,Scatter Plot,Measurement,6,10.2,,,,,,
,Scatter Plot,Measurement,10,12.6,,,,,,
,Scatter Plot,Measurement,14,12.9,,,,,,
,Scatter Plot,Measurement,18,15.0,,,,,,
,Scatter Plot,Measurement,22,17.7,,,,,,
,Scatter Plot,Measurement,26,22.8,,,,,,
,Scatter Plot,Measurement,30,27.8,,,,,,
1,ErrorBarLayer,Measurement_err_upper,2,8.899999999999999,,,,,,
1,ErrorBarLayer,Measurement_err_lower,2,7.199999999999999,,,,,,
1,ErrorBarLayer,Measurement_err_upper,6,11.0,,,,,,
1,ErrorBarLayer,Measurement_err_lower,6,8.899999999999999,,,,,,
1,ErrorBarLayer,Measurement_err_upper,10,13.5,,,,,,
1,ErrorBarLayer,Measurement_err_lower,10,11.1,,,,,,
1,ErrorBarLayer,Measurement_err_upper,14,13.9,,,,,,
1,ErrorBarLayer,Measurement_err_lower,14,11.200000000000001,,,,,,
1,ErrorBarLayer,Measurement_err_upper,18,16.2,,,,,,
1,ErrorBarLayer,Measurement_err_lower,18,13.1,,,,,,
1,ErrorBarLayer,Measurement_err_upper,22,18.9,,,,,,
1,ErrorBarLayer,Measurement_err_lower,22,15.6,,,,,,
1,ErrorBarLayer,Measurement_err_upper,26,24.2,,,,,,
1,ErrorBarLayer,Measurement_err_lower,26,20.5,,,,,,
1,ErrorBarLayer,Measurement_err_upper,30,29.3,,,,,,
1,ErrorBarLayer,Measurement_err_lower,30,25.400000000000002,,,,,,
