layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Drive current (A),0.0,0.415,,,,,,
,Line Graph,Drive current (A),0.435,0.44,,,,,,
,Line Graph,Drive current (A),0.87,0.465,,,,,,
,Line Graph,Drive current (A),1.304,0.505,,,,,,
,Line Graph,Drive current (A),1.739,0.518,,,,,,
,Line Graph,Drive current (A),2.174,0.56,,,,,,
,Line Graph,Drive current (A),2.609,0.555,,,,,,
,Line Graph,Drive current (A),3.043,0.582,,,,,,
,Line Graph,Drive current (A),3.478,0.59,,,,,,
,Line Graph,Drive current (A),3.913,0.638,,,,,,
,Line Graph,Drive current (A),4.348,0.695,,,,,,
,Line Graph,Drive current (A),4.783,0.693,,,,,,
,Line Graph,Drive current (A),5.217,0.725,,,,,,
,Line Graph,Drive current (A),5.652,0.712,,,,,,
,Line Graph,Drive current (A),6.087,0.76,,,,,,
,Line Graph,Drive current (A),6.522,0.792,,,,,,
,Line Graph,Drive current (A),6.957,0.84,,,,,,
,Line Graph,Drive current (A),7.391,0.842,,,,,,
,Line Graph,Drive current (A),7.826,0.863,,,,,,
,Line Graph,Drive current (A),8.261,0.9,,,,,,
,Line Graph,Drive current (A),8.696,0.945,,,,,,
,Line Graph,Drive current (A),9.13,0.933,,,,,,
,Line Graph,Drive current (A),9.565,0.962,,,,,,
,Line Graph,Drive current (A),10.0,1.008,,,,,,
,Line Graph,Cell voltage (V),0.0,12.2,,,,,,
,Line Graph,Cell voltage (V),0.435,11.85,,,,,,
,Line Graph,Cell voltage (V),0.87,11.4,,,,,,
,Line Graph,Cell voltage (V),1.304,11.5,,,,,,
,Line Graph,Cell voltage (V),1.739,11.52,,,,,,
,Line Graph,Cell voltage (V),2.174,11.12,,,,,,
,Line Graph,Cell voltage (V),2.609,10.85,,,,,,
,Line Graph,Cell voltage (V),3.043,10.88,,,,,,
,Line Graph,Cell voltage (V),3.478,10.78,,,,,,
,Line Graph,Cell voltage (V),3.913,10.25,,,,,,
,Line Graph,Cell voltage (V),4.348,10.12,,,,,,
,Line Graph,Cell voltage (V),4.783,10.38,,,,,,
,Line Graph,Cell voltage (V),5.217,10.08,,,,,,
,Line Graph,Cell voltage (V),5.652,9.85,,,,,,
,Line Graph,Cell voltage (V),6.087,9.32,,,,,,
,Line Graph,Cell voltage (V),6.522,9.45,,,,,,
,Line Graph,Cell voltage (V),6.957,9.12,,,,,,
,Line Graph,Cell voltage (V),7.391,9.32,,,,,,
,Line Graph,Cell voltage (V),7.826,8.78,,,,,,
,Line Graph,Cell voltage (V),8.261,8.92,,,,,,
,Line Graph,Cell voltage (V),8.696,8.45,,,,,,
,Line Graph,Cell voltage (V),9.13,8.32,,,,,,
,Line Graph,Cell voltage (V),9.565,8.2,,,,,,
,Line Graph,Cell voltage (V),10.0,8.1,,,,,,
