layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Throughput,5,1500000,,,,,,
,Line Graph,Throughput,12,1900000,,,,,,
,Line Graph,Throughput,19,2100000,,,,,,
,Line Graph,Throughput,26,2400000,,,,,,
,Line Graph,Throughput,33,3500000,,,,,,
,Line Graph,Throughput,40,3650000,,,,,,
,Line Graph,Throughput,47,4150000,,,,,,
,Line Graph,Throughput,54,4700000,,,,,,
,Line Graph,Throughput,61,5200000,,,,,,
,Line Graph,Throughput,68,6500000,,,,,,
,Line Graph,Throughput,75,6750000,,,,,,
,Line Graph,Throughput,82,7150000,,,,,,
,Line Graph,Throughput,89,8100000,,,,,,
,Line Graph,Throughput,96,8650000,,,,,,
