layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
0,Line Graph,"Linear fit (slope=1.76, intercept=4.00)",0,4.0,,,,,,
0,Line Graph,"Linear fit (slope=1.76, intercept=4.00)",10,21.6,,,,,,
1,Scatter Plot,Measurement,0.5,5.0,,,,,,
1,Scatter Plot,Measurement,1.3,6.9,,,,,,
1,Scatter Plot,Measurement,2.1,7.4,,,,,,
1,Scatter Plot,Measurement,3.0,8.6,,,,,,
1,Scatter Plot,Measurement,3.8,11.1,,,,,,
1,Scatter Plot,Measurement,4.6,12.1,,,,,,
1,Scatter Plot,Measurement,5.4,14.2,,,,,,
1,Scatter Plot,Measurement,6.2,14.6,,,,,,
1,Scatter Plot,Measurement,7.1,15.8,,,,,,
1,Scatter Plot,Measurement,7.9,17.5,,,,,,
1,Scatter Plot,Measurement,8.7,19.2,,,,,,
1,Scatter Plot,Measurement,9.5,21.4,,,,,,
