layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
0,Scatter Plot,24°C,0.0,7.0,,,,,,
0,Scatter Plot,24°C,0.2,8.0,,,,,,
0,Scatter Plot,24°C,0.3,9.0,,,,,,
0,Scatter Plot,24°C,0.32,9.8,,,,,,
0,Scatter Plot,24°C,0.33,10.5,,,,,,
0,Scatter Plot,24°C,0.34,11.5,,,,,,
0,Scatter Plot,24°C,0.34,12.5,,,,,,
0,Scatter Plot,24°C,0.34,13.5,,,,,,
0,Scatter Plot,24°C,0.34,14.5,,,,,,
0,Scatter Plot,24°C,0.35,15.5,,,,,,
0,Scatter Plot,24°C,0.35,16.5,,,,,,
0,Scatter Plot,27°C,0.0,17.5,,,,,,
0,Scatter Plot,27°C,0.02,18.5,,,,,,
0,Scatter Plot,27°C,0.1,19.2,,,,,,
0,Scatter Plot,27°C,0.22,20.0,,,,,,
0,Scatter Plot,27°C,0.33,20.5,,,,,,
0,Scatter Plot,27°C,0.45,20.8,,,,,,
0,Scatter Plot,27°C,0.58,21.0,,,,,,
0,Scatter Plot,27°C,0.59,21.5,,,,,,
0,Scatter Plot,27°C,0.6,22.0,,,,,,
0,Scatter Plot,27°C,0.62,22.5,,,,,,
0,Scatter Plot,27°C,0.65,22.8,,,,,,
0,Scatter Plot,27°C,0.66,23.5,,,,,,
0,Scatter Plot,27°C,0.67,24.0,,,,,,
0,Scatter Plot,30°C,0.0,8.0,,,,,,
0,Scatter Plot,30°C,0.01,8.5,,,,,,
0,Scatter Plot,30°C,0.08,9.5,,,,,,
0,Scatter Plot,30°C,0.23,10.5,,,,,,
0,Scatter Plot,30°C,0.41,11.5,,,,,,
0,Scatter Plot,30°C,0.52,13.0,,,,,,
0,Scatter Plot,30°C,0.54,14.0,,,,,,
0,Scatter Plot,30°C,0.55,15.0,,,,,,
0,Scatter Plot,30°C,0.56,16.0,,,,,,
0,Scatter Plot,30°C,0.58,17.0,,,,,,
0,Scatter Plot,30°C,0.59,18.0,,,,,,
0,Scatter Plot,30°C,0.6,19.0,,,,,,
0,Scatter Plot,30°C,0.61,20.0,,,,,,
0,Scatter Plot,30°C,0.62,21.0,,,,,,
1,Line Graph,IF for 24°C,0.0,7.5,,,,,,
1,Line Graph,IF for 24°C,0.1,8.5,,,,,,
1,Line Graph,IF for 24°C,0.2,10.0,,,,,,
1,Line Graph,IF for 24°C,0.3,11.8,,,,,,
1,Line Graph,IF for 24°C,0.4,13.8,,,,,,
1,Line Graph,IF for 24°C,0.5,16.0,,,,,,
1,Line Graph,IF for 24°C,0.6,18.5,,,,,,
1,Line Graph,IF for 24°C,0.65,20.0,,,,,,
1,Line Graph,IF for 27°C,0.0,17.8,,,,,,
1,Line Graph,IF for 27°C,0.75,24.5,,,,,,
1,Line Graph,IF for 30°C,0.0,8.2,,,,,,
1,Line Graph,IF for 30°C,0.1,9.2,,,,,,
1,Line Graph,IF for 30°C,0.2,10.5,,,,,,
1,Line Graph,IF for 30°C,0.3,12.0,,,,,,
1,Line Graph,IF for 30°C,0.4,13.8,,,,,,
1,Line Graph,IF for 30°C,0.5,15.8,,,,,,
1,Line Graph,IF for 30°C,0.6,18.5,,,,,,
1,Line Graph,IF for 30°C,0.7,21.8,,,,,,
1,Line Graph,IF for 30°C,0.78,24.0,,,,,,
