layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,24°C,7,0.08,,,,,,
,Line Graph,24°C,8,0.19,,,,,,
,Line Graph,24°C,9,0.31,,,,,,
,Line Graph,24°C,11,0.33,,,,,,
,Line Graph,24°C,12,0.35,,,,,,
,Line Graph,24°C,21,0.36,,,,,,
,Line Graph,27°C,3,0.01,,,,,,
,Line Graph,27°C,4,0.12,,,,,,
,Line Graph,27°C,5,0.26,,,,,,
,Line Graph,27°C,6,0.37,,,,,,
,Line Graph,27°C,7,0.49,,,,,,
,Line Graph,27°C,8,0.58,,,,,,
,Line Graph,27°C,9,0.59,,,,,,
,Line Graph,27°C,11,0.61,,,,,,
,Line Graph,27°C,12,0.62,,,,,,
,Line Graph,27°C,14,0.66,,,,,,
,Line Graph,27°C,16,0.68,,,,,,
,Line Graph,27°C,20,0.69,,,,,,
,Line Graph,27°C,22,0.71,,,,,,
,Line Graph,30°C,4,0.12,,,,,,
,Line Graph,30°C,5,0.53,,,,,,
,Line Graph,30°C,6,0.57,,,,,,
,Line Graph,30°C,7,0.64,,,,,,
,Line Graph,30°C,8,0.65,,,,,,
,Line Graph,30°C,10,0.66,,,,,,
