layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,China,1950,78000000,,,,,,
,Line Graph,China,1960,830000000,,,,,,
,Line Graph,China,1970,830000000,,,,,,
,Line Graph,China,1980,1480000000,,,,,,
,Line Graph,China,1990,2460000000,,,,,,
,Line Graph,China,2000,3490000000,,,,,,
,Line Graph,China,2005,5900000000,,,,,,
,Line Graph,China,2010,9000000000,,,,,,
,Line Graph,China,2015,10000000000,,,,,,
,Line Graph,China,2020,10800000000,,,,,,
,Line Graph,China,2023,12400000000,,,,,,
,Line Graph,United States,1850,6000000,,,,,,
,Line Graph,United States,1880,230000000,,,,,,
,Line Graph,United States,1900,850000000,,,,,,
,Line Graph,United States,1920,2200000000,,,,,,
,Line Graph,United States,1943,3200000000,,,,,,
,Line Graph,United States,1950,4500000000,,,,,,
,Line Graph,United States,1973,5600000000,,,,,,
,Line Graph,United States,2005,6130000000,,,,,,
,Line Graph,United States,2010,5600000000,,,,,,
,Line Graph,United States,2020,4600000000,,,,,,
,Line Graph,United States,2023,4800000000,,,,,,
,Line Graph,India,1950,60000000,,,,,,
,Line Graph,India,1970,200000000,,,,,,
,Line Graph,India,1990,600000000,,,,,,
,Line Graph,India,2000,1000000000,,,,,,
,Line Graph,India,2010,1800000000,,,,,,
,Line Graph,India,2020,2500000000,,,,,,
,Line Graph,India,2023,3100000000,,,,,,
,Line Graph,Germany,1850,20000000,,,,,,
,Line Graph,Germany,1900,400000000,,,,,,
,Line Graph,Germany,1943,800000000,,,,,,
,Line Graph,Germany,1979,1100000000,,,,,,
,Line Graph,Germany,1990,1000000000,,,,,,
,Line Graph,Germany,2000,850000000,,,,,,
,Line Graph,Germany,2010,800000000,,,,,,
,Line Graph,Germany,2023,600000000,,,,,,
,Line Graph,Brazil,1950,20000000,,,,,,
,Line Graph,Brazil,1970,100000000,,,,,,
,Line Graph,Brazil,1990,220000000,,,,,,
,Line Graph,Brazil,2000,350000000,,,,,,
,Line Graph,Brazil,2014,550000000,,,,,,
,Line Graph,Brazil,2023,400000000,,,,,,
,Line Graph,United Kingdom,1750,3000000,,,,,,
,Line Graph,United Kingdom,1800,11000000,,,,,,
,Line Graph,United Kingdom,1850,120000000,,,,,,
,Line Graph,United Kingdom,1900,450000000,,,,,,
,Line Graph,United Kingdom,1913,600000000,,,,,,
,Line Graph,United Kingdom,1973,620000000,,,,,,
,Line Graph,United Kingdom,1990,550000000,,,,,,
,Line Graph,United Kingdom,2000,500000000,,,,,,
,Line Graph,United Kingdom,2010,450000000,,,,,,
,Line Graph,United Kingdom,2023,280000000,,,,,,
,Line Graph,France,1850,20000000,,,,,,
,Line Graph,France,1900,100000000,,,,,,
,Line Graph,France,1950,200000000,,,,,,
,Line Graph,France,1973,450000000,,,,,,
,Line Graph,France,1990,350000000,,,,,,
,Line Graph,France,2005,390000000,,,,,,
,Line Graph,France,2010,350000000,,,,,,
,Line Graph,France,2023,250000000,,,,,,
