layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Sweden,1751,31.5,,,,,,
,Line Graph,Sweden,1773,48.9,,,,,,
,Line Graph,Sweden,1800,37.0,,,,,,
,Line Graph,Sweden,1809,28.1,,,,,,
,Line Graph,Sweden,1833,26.2,,,,,,
,Line Graph,Sweden,1868,18.2,,,,,,
,Line Graph,Sweden,1890,14.0,,,,,,
,Line Graph,Sweden,1910,8.0,,,,,,
,Line Graph,Sweden,1930,5.0,,,,,,
,Line Graph,Sweden,1950,2.0,,,,,,
,Line Graph,Sweden,1975,0.8,,,,,,
,Line Graph,Sweden,2000,0.4,,,,,,
,Line Graph,Sweden,2023,0.2,,,,,,
,Line Graph,France,1820,31.0,,,,,,
,Line Graph,France,1854,29.5,,,,,,
,Line Graph,France,1871,34.5,,,,,,
,Line Graph,France,1892,22.0,,,,,,
,Line Graph,France,1918,12.0,,,,,,
,Line Graph,France,1945,10.5,,,,,,
,Line Graph,France,1950,5.2,,,,,,
,Line Graph,France,1975,1.2,,,,,,
,Line Graph,France,2000,0.5,,,,,,
,Line Graph,France,2023,0.3,,,,,,
,Line Graph,United Kingdom,1841,27.2,,,,,,
,Line Graph,United Kingdom,1865,26.5,,,,,,
,Line Graph,United Kingdom,1900,21.0,,,,,,
,Line Graph,United Kingdom,1915,15.0,,,,,,
,Line Graph,United Kingdom,1930,9.0,,,,,,
,Line Graph,United Kingdom,1950,3.6,,,,,,
,Line Graph,United Kingdom,1975,1.5,,,,,,
,Line Graph,United Kingdom,2000,0.6,,,,,,
,Line Graph,United Kingdom,2023,0.4,,,,,,
,Line Graph,United States,1825,31.2,,,,,,
,Line Graph,United States,1855,34.0,,,,,,
,Line Graph,United States,1872,34.5,,,,,,
,Line Graph,United States,1900,22.0,,,,,,
,Line Graph,United States,1918,15.0,,,,,,
,Line Graph,United States,1935,6.0,,,,,,
,Line Graph,United States,1950,3.4,,,,,,
,Line Graph,United States,1975,1.6,,,,,,
,Line Graph,United States,2000,0.8,,,,,,
,Line Graph,United States,2023,0.6,,,,,,
,Line Graph,Brazil,1922,29.5,,,,,,
,Line Graph,Brazil,1950,23.0,,,,,,
,Line Graph,Brazil,1970,16.0,,,,,,
,Line Graph,Brazil,1990,7.0,,,,,,
,Line Graph,Brazil,2000,4.0,,,,,,
,Line Graph,Brazil,2010,2.0,,,,,,
,Line Graph,Brazil,2023,1.2,,,,,,
,Line Graph,India,1920,33.0,,,,,,
,Line Graph,India,1925,43.0,,,,,,
,Line Graph,India,1930,32.5,,,,,,
,Line Graph,India,1950,26.5,,,,,,
,Line Graph,India,1960,24.2,,,,,,
,Line Graph,India,1980,17.5,,,,,,
,Line Graph,India,2000,9.2,,,,,,
,Line Graph,India,2023,2.5,,,,,,
,Line Graph,Ghana,1940,37.0,,,,,,
,Line Graph,Ghana,1950,28.0,,,,,,
,Line Graph,Ghana,1960,24.0,,,,,,
,Line Graph,Ghana,1980,16.0,,,,,,
,Line Graph,Ghana,2000,9.0,,,,,,
,Line Graph,Ghana,2023,4.5,,,,,,
