layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,United Kingdom,1750,0.8,,,,,,
,Line Graph,United Kingdom,1780,1.5,,,,,,
,Line Graph,United Kingdom,1800,2.5,,,,,,
,Line Graph,United Kingdom,1815,2.8,,,,,,
,Line Graph,United Kingdom,1820,2,,,,,,
,Line Graph,United Kingdom,1840,2.5,,,,,,
,Line Graph,United Kingdom,1860,5.5,,,,,,
,Line Graph,United Kingdom,1880,8.5,,,,,,
,Line Graph,United Kingdom,1900,9.5,,,,,,
,Line Graph,United Kingdom,1913,10.5,,,,,,
,Line Graph,United Kingdom,1921,6,,,,,,
,Line Graph,United Kingdom,1926,5,,,,,,
,Line Graph,United Kingdom,1940,9.5,,,,,,
,Line Graph,United Kingdom,1956,10,,,,,,
,Line Graph,United Kingdom,1970,11,,,,,,
,Line Graph,United Kingdom,1979,11.2,,,,,,
,Line Graph,United Kingdom,1984,9.5,,,,,,
,Line Graph,United Kingdom,1990,9.5,,,,,,
,Line Graph,United Kingdom,2000,9,,,,,,
,Line Graph,United Kingdom,2010,7.5,,,,,,
,Line Graph,United Kingdom,2020,4.8,,,,,,
,Line Graph,United Kingdom,2022,4.5,,,,,,
,Line Graph,United States,1800,0.1,,,,,,
,Line Graph,United States,1850,1.5,,,,,,
,Line Graph,United States,1880,4,,,,,,
,Line Graph,United States,1900,10,,,,,,
,Line Graph,United States,1905,12,,,,,,
,Line Graph,United States,1910,13,,,,,,
,Line Graph,United States,1918,17,,,,,,
,Line Graph,United States,1920,14,,,,,,
,Line Graph,United States,1929,17,,,,,,
,Line Graph,United States,1932,10,,,,,,
,Line Graph,United States,1943,17.5,,,,,,
,Line Graph,United States,1950,17,,,,,,
,Line Graph,United States,1960,17.5,,,,,,
,Line Graph,United States,1965,19,,,,,,
,Line Graph,United States,1970,21.5,,,,,,
,Line Graph,United States,1973,22.5,,,,,,
,Line Graph,United States,1979,22,,,,,,
,Line Graph,United States,1982,18,,,,,,
,Line Graph,United States,1990,20,,,,,,
,Line Graph,United States,2000,21,,,,,,
,Line Graph,United States,2005,21,,,,,,
,Line Graph,United States,2008,18.5,,,,,,
,Line Graph,United States,2015,16,,,,,,
,Line Graph,United States,2022,14,,,,,,
