layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,United States,1990,44000,,,,,,
,Line Graph,United States,1991,43500,,,,,,
,Line Graph,United States,1992,44500,,,,,,
,Line Graph,United States,1993,45500,,,,,,
,Line Graph,United States,1994,47000,,,,,,
,Line Graph,United States,1995,48000,,,,,,
,Line Graph,United States,1996,49500,,,,,,
,Line Graph,United States,1997,51500,,,,,,
,Line Graph,United States,1998,53500,,,,,,
,Line Graph,United States,1999,55500,,,,,,
,Line Graph,United States,2000,57000,,,,,,
,Line Graph,United States,2001,57000,,,,,,
,Line Graph,United States,2002,57500,,,,,,
,Line Graph,United States,2003,59000,,,,,,
,Line Graph,United States,2004,60500,,,,,,
,Line Graph,United States,2005,62000,,,,,,
,Line Graph,United States,2006,63000,,,,,,
,Line Graph,United States,2007,63500,,,,,,
,Line Graph,United States,2008,62500,,,,,,
,Line Graph,United States,2009,60000,,,,,,
,Line Graph,United States,2010,61000,,,,,,
,Line Graph,United States,2011,61500,,,,,,
,Line Graph,United States,2012,62500,,,,,,
,Line Graph,United States,2013,63500,,,,,,
,Line Graph,United States,2014,65000,,,,,,
,Line Graph,United States,2015,66500,,,,,,
,Line Graph,United States,2016,67500,,,,,,
,Line Graph,United States,2017,69000,,,,,,
,Line Graph,United States,2018,71000,,,,,,
,Line Graph,United States,2019,72500,,,,,,
,Line Graph,United States,2020,70000,,,,,,
,Line Graph,United States,2021,74000,,,,,,
,Line Graph,United States,2022,75500,,,,,,
,Line Graph,United States,2023,77500,,,,,,
,Line Graph,United States,2024,79000,,,,,,
,Line Graph,Germany,1990,42000,,,,,,
,Line Graph,Germany,1991,44000,,,,,,
,Line Graph,Germany,1992,44500,,,,,,
,Line Graph,Germany,1993,44000,,,,,,
,Line Graph,Germany,1994,45000,,,,,,
,Line Graph,Germany,1995,45500,,,,,,
,Line Graph,Germany,1996,46000,,,,,,
,Line Graph,Germany,1997,46500,,,,,,
,Line Graph,Germany,1998,47500,,,,,,
,Line Graph,Germany,1999,48500,,,,,,
,Line Graph,Germany,2000,50000,,,,,,
,Line Graph,Germany,2001,50500,,,,,,
,Line Graph,Germany,2002,50500,,,,,,
,Line Graph,Germany,2003,50000,,,,,,
,Line Graph,Germany,2004,51000,,,,,,
,Line Graph,Germany,2005,51000,,,,,,
,Line Graph,Germany,2006,53000,,,,,,
,Line Graph,Germany,2007,55000,,,,,,
,Line Graph,Germany,2008,55500,,,,,,
,Line Graph,Germany,2009,52500,,,,,,
,Line Graph,Germany,2010,54500,,,,,,
,Line Graph,Germany,2011,56500,,,,,,
,Line Graph,Germany,2012,56500,,,,,,
,Line Graph,Germany,2013,57000,,,,,,
,Line Graph,Germany,2014,58000,,,,,,
,Line Graph,Germany,2015,58500,,,,,,
,Line Graph,Germany,2016,59500,,,,,,
,Line Graph,Germany,2017,61000,,,,,,
,Line Graph,Germany,2018,61500,,,,,,
,Line Graph,Germany,2019,62000,,,,,,
,Line Graph,Germany,2020,59500,,,,,,
,Line Graph,Germany,2021,61500,,,,,,
,Line Graph,Germany,2022,62500,,,,,,
,Line Graph,Germany,2023,62000,,,,,,
,Line Graph,Germany,2024,62500,,,,,,
,Line Graph,South Korea,1990,14000,,,,,,
,Line Graph,South Korea,1991,15500,,,,,,
,Line Graph,South Korea,1992,16500,,,,,,
,Line Graph,South Korea,1993,17500,,,,,,
,Line Graph,South Korea,1994,19000,,,,,,
,Line Graph,South Korea,1995,20500,,,,,,
,Line Graph,South Korea,1996,22000,,,,,,
,Line Graph,South Korea,1997,23000,,,,,,
,Line Graph,South Korea,1998,21500,,,,,,
,Line Graph,South Korea,1999,24000,,,,,,
,Line Graph,South Korea,2000,26000,,,,,,
,Line Graph,South Korea,2001,27000,,,,,,
,Line Graph,South Korea,2002,29000,,,,,,
,Line Graph,South Korea,2003,30000,,,,,,
,Line Graph,South Korea,2004,31500,,,,,,
,Line Graph,South Korea,2005,32500,,,,,,
,Line Graph,South Korea,2006,34000,,,,,,
,Line Graph,South Korea,2007,36000,,,,,,
,Line Graph,South Korea,2008,37000,,,,,,
