layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Area Chart,Traditional biomass,1800,4000,,,,,,
,Area Chart,Traditional biomass,1850,5000,,,,,,
,Area Chart,Traditional biomass,1900,6000,,,,,,
,Area Chart,Traditional biomass,1950,7000,,,,,,
,Area Chart,Traditional biomass,1965,7500,,,,,,
,Area Chart,Traditional biomass,1980,8500,,,,,,
,Area Chart,Traditional biomass,1990,9000,,,,,,
,Area Chart,Traditional biomass,2000,9500,,,,,,
,Area Chart,Traditional biomass,2010,10000,,,,,,
,Area Chart,Traditional biomass,2015,10000,,,,,,
,Area Chart,Traditional biomass,2022,10000,,,,,,
,Area Chart,Coal,1800,4000,,,,,,
,Area Chart,Coal,1850,6000,,,,,,
,Area Chart,Coal,1900,12000,,,,,,
,Area Chart,Coal,1950,22000,,,,,,
,Area Chart,Coal,1965,30000,,,,,,
,Area Chart,Coal,1980,45000,,,,,,
,Area Chart,Coal,1990,60000,,,,,,
,Area Chart,Coal,2000,55000,,,,,,
,Area Chart,Coal,2010,78000,,,,,,
,Area Chart,Coal,2015,80000,,,,,,
,Area Chart,Coal,2022,58000,,,,,,
,Area Chart,Oil,1800,4000,,,,,,
,Area Chart,Oil,1850,6000,,,,,,
,Area Chart,Oil,1900,12500,,,,,,
,Area Chart,Oil,1950,30000,,,,,,
,Area Chart,Oil,1965,55000,,,,,,
,Area Chart,Oil,1980,85000,,,,,,
,Area Chart,Oil,1990,95000,,,,,,
,Area Chart,Oil,2000,100000,,,,,,
,Area Chart,Oil,2010,110000,,,,,,
,Area Chart,Oil,2015,118000,,,,,,
,Area Chart,Oil,2022,112000,,,,,,
,Area Chart,Gas,1800,4000,,,,,,
,Area Chart,Gas,1850,6000,,,,,,
,Area Chart,Gas,1900,12500,,,,,,
,Area Chart,Gas,1950,32000,,,,,,
,Area Chart,Gas,1965,60000,,,,,,
,Area Chart,Gas,1980,95000,,,,,,
,Area Chart,Gas,1990,110000,,,,,,
,Area Chart,Gas,2000,118000,,,,,,
,Area Chart,Gas,2010,135000,,,,,,
,Area Chart,Gas,2015,142000,,,,,,
,Area Chart,Gas,2022,148000,,,,,,
,Area Chart,Nuclear,1800,4000,,,,,,
,Area Chart,Nuclear,1850,6000,,,,,,
,Area Chart,Nuclear,1900,12500,,,,,,
,Area Chart,Nuclear,1950,32000,,,,,,
,Area Chart,Nuclear,1965,60100,,,,,,
,Area Chart,Nuclear,1980,98000,,,,,,
,Area Chart,Nuclear,1990,120000,,,,,,
,Area Chart,Nuclear,2000,125000,,,,,,
,Area Chart,Nuclear,2010,142000,,,,,,
,Area Chart,Nuclear,2015,148000,,,,,,
,Area Chart,Nuclear,2022,155000,,,,,,
,Area Chart,Hydropower,1800,4000,,,,,,
,Area Chart,Hydropower,1850,6000,,,,,,
,Area Chart,Hydropower,1900,12800,,,,,,
,Area Chart,Hydropower,1950,34000,,,,,,
,Area Chart,Hydropower,1965,63000,,,,,,
,Area Chart,Hydropower,1980,102000,,,,,,
,Area Chart,Hydropower,1990,124000,,,,,,
,Area Chart,Hydropower,2000,128000,,,,,,
,Area Chart,Hydropower,2010,148000,,,,,,
,Area Chart,Hydropower,2015,155000,,,,,,
,Area Chart,Hydropower,2022,162000,,,,,,
,Area Chart,Wind,1800,4000,,,,,,
,Area Chart,Wind,1850,6000,,,,,,
,Area Chart,Wind,1900,12800,,,,,,
,Area Chart,Wind,1950,34000,,,,,,
,Area Chart,Wind,1965,63000,,,,,,
,Area Chart,Wind,1980,102000,,,,,,
,Area Chart,Wind,1990,124000,,,,,,
,Area Chart,Wind,2000,128500,,,,,,
,Area Chart,Wind,2010,150000,,,,,,
,Area Chart,Wind,2015,158000,,,,,,
,Area Chart,Wind,2022,166000,,,,,,
,Area Chart,Solar,1800,4000,,,,,,
,Area Chart,Solar,1850,6000,,,,,,
,Area Chart,Solar,1900,12800,,,,,,
,Area Chart,Solar,1950,34000,,,,,,
,Area Chart,Solar,1965,63000,,,,,,
,Area Chart,Solar,1980,102000,,,,,,
,Area Chart,Solar,1990,124000,,,,,,
,Area Chart,Solar,2000,128600,,,,,,
,Area Chart,Solar,2010,150500,,,,,,
,Area Chart,Solar,2015,160000,,,,,,
,Area Chart,Solar,2022,169000,,,,,,
,Area Chart,Other renewables,1800,4000,,,,,,
,Area Chart,Other renewables,1850,6000,,,,,,
,Area Chart,Other renewables,1900,12800,,,,,,
,Area Chart,Other renewables,1950,34000,,,,,,
,Area Chart,Other renewables,1965,63000,,,,,,
,Area Chart,Other renewables,1980,102000,,,,,,
,Area Chart,Other renewables,1990,124000,,,,,,
,Area Chart,Other renewables,2000,128800,,,,,,
,Area Chart,Other renewables,2010,151000,,,,,,
,Area Chart,Other renewables,2015,161000,,,,,,
,Area Chart,Other renewables,2022,171000,,,,,,
,Area Chart,Modern biofuels,1800,4000,,,,,,
,Area Chart,Modern biofuels,1850,6000,,,,,,
,Area Chart,Modern biofuels,1900,12800,,,,,,
,Area Chart,Modern biofuels,1950,34000,,,,,,
,Area Chart,Modern biofuels,1965,63000,,,,,,
,Area Chart,Modern biofuels,1980,102000,,,,,,
,Area Chart,Modern biofuels,1990,124000,,,,,,
,Area Chart,Modern biofuels,2000,129000,,,,,,
,Area Chart,Modern biofuels,2010,152000,,,,,,
,Area Chart,Modern biofuels,2015,162500,,,,,,
,Area Chart,Modern biofuels,2022,173000,,,,,,
