layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Bubble Chart,Africa,900,22,,,,,,
,Bubble Chart,Africa,1500,56,,,,,,
,Bubble Chart,Africa,1100,61,,,,,,
,Bubble Chart,Africa,2200,61,,,,,,
,Bubble Chart,Africa,1600,68,,,,,,
,Bubble Chart,Africa,2800,58,,,,,,
,Bubble Chart,Africa,5000,53,,,,,,
,Bubble Chart,Africa,2500,69,,,,,,
,Bubble Chart,Africa,5500,65,,,,,,
,Bubble Chart,Africa,6500,66,,,,,,
,Bubble Chart,Africa,13000,65,,,,,,
,Bubble Chart,Africa,16000,60,,,,,,
,Bubble Chart,Asia,2500,74,,,,,,
,Bubble Chart,Asia,6000,75,,,,,,
,Bubble Chart,Asia,6000,69,,,,,,
,Bubble Chart,Asia,8000,72,,,,,,
,Bubble Chart,Asia,13000,72,,,,,,
,Bubble Chart,Asia,12000,77,,,,,,
,Bubble Chart,Asia,21000,79,,,,,,
,Bubble Chart,Asia,42000,84,,,,,,
,Bubble Chart,Europe,28000,71,,,,,,
,Bubble Chart,North America,65000,79,,,,,,
,Bubble Chart,South America,10000,74,,,,,,
,Bubble Chart,South America,15000,76,,,,,,
,Bubble Chart,South America,22000,78,,,,,,
,Bubble Chart,Oceania,45000,82,,,,,,
