layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Oceania,1885,35.3,,,,,,
,Line Graph,Oceania,1900,48.5,,,,,,
,Line Graph,Oceania,1913,55.2,,,,,,
,Line Graph,Oceania,1929,61.0,,,,,,
,Line Graph,Oceania,1950,65.2,,,,,,
,Line Graph,Oceania,1960,68.5,,,,,,
,Line Graph,Oceania,1970,70.5,,,,,,
,Line Graph,Oceania,1980,73.0,,,,,,
,Line Graph,Oceania,1990,76.0,,,,,,
,Line Graph,Oceania,2000,78.5,,,,,,
,Line Graph,Oceania,2010,80.5,,,,,,
,Line Graph,Oceania,2019,81.8,,,,,,
,Line Graph,Oceania,2021,81.5,,,,,,
,Line Graph,Oceania,2023,82.0,,,,,,
,Line Graph,Europe,1770,34.5,,,,,,
,Line Graph,Europe,1800,33.0,,,,,,
,Line Graph,Europe,1820,35.5,,,,,,
,Line Graph,Europe,1850,36.5,,,,,,
,Line Graph,Europe,1870,36.5,,,,,,
,Line Graph,Europe,1900,46.0,,,,,,
,Line Graph,Europe,1913,50.0,,,,,,
,Line Graph,Europe,1929,57.0,,,,,,
,Line Graph,Europe,1950,66.5,,,,,,
,Line Graph,Europe,1960,70.0,,,,,,
,Line Graph,Europe,1970,72.0,,,,,,
,Line Graph,Europe,1980,73.5,,,,,,
,Line Graph,Europe,1990,75.0,,,,,,
,Line Graph,Europe,2000,77.0,,,,,,
,Line Graph,Europe,2010,79.8,,,,,,
,Line Graph,Europe,2019,81.5,,,,,,
,Line Graph,Europe,2021,80.5,,,,,,
,Line Graph,Europe,2023,81.2,,,,,,
,Line Graph,Americas,1770,35.0,,,,,,
,Line Graph,Americas,1820,35.0,,,,,,
,Line Graph,Americas,1850,35.0,,,,,,
,Line Graph,Americas,1870,35.0,,,,,,
,Line Graph,Americas,1900,39.5,,,,,,
,Line Graph,Americas,1913,45.0,,,,,,
,Line Graph,Americas,1929,52.0,,,,,,
,Line Graph,Americas,1950,60.0,,,,,,
,Line Graph,Americas,1960,64.5,,,,,,
,Line Graph,Americas,1970,68.0,,,,,,
,Line Graph,Americas,1980,71.0,,,,,,
,Line Graph,Americas,1990,73.8,,,,,,
,Line Graph,Americas,2000,76.0,,,,,,
,Line Graph,Americas,2010,78.0,,,,,,
,Line Graph,Americas,2019,79.2,,,,,,
,Line Graph,Americas,2021,77.0,,,,,,
,Line Graph,Americas,2023,78.0,,,,,,
,Line Graph,Asia,1770,27.5,,,,,,
,Line Graph,Asia,1820,27.5,,,,,,
,Line Graph,Asia,1850,27.5,,,,,,
,Line Graph,Asia,1870,27.5,,,,,,
,Line Graph,Asia,1929,28.0,,,,,,
,Line Graph,Asia,1950,42.0,,,,,,
,Line Graph,Asia,1960,49.5,,,,,,
,Line Graph,Asia,1970,57.0,,,,,,
,Line Graph,Asia,1980,62.0,,,,,,
,Line Graph,Asia,1990,66.0,,,,,,
,Line Graph,Asia,2000,69.0,,,,,,
,Line Graph,Asia,2010,72.0,,,,,,
,Line Graph,Asia,2019,74.5,,,,,,
,Line Graph,Asia,2021,73.8,,,,,,
,Line Graph,Asia,2023,74.2,,,,,,
,Line Graph,World,1770,29.0,,,,,,
,Line Graph,World,1800,29.0,,,,,,
,Line Graph,World,1820,29.0,,,,,,
,Line Graph,World,1850,29.5,,,,,,
,Line Graph,World,1870,30.0,,,,,,
,Line Graph,World,1900,32.0,,,,,,
,Line Graph,World,1913,34.0,,,,,,
,Line Graph,World,1950,46.5,,,,,,
,Line Graph,World,1960,51.0,,,,,,
,Line Graph,World,1963,50.0,,,,,,
,Line Graph,World,1970,58.0,,,,,,
,Line Graph,World,1980,62.0,,,,,,
,Line Graph,World,1990,65.0,,,,,,
,Line Graph,World,2000,67.5,,,,,,
,Line Graph,World,2010,70.5,,,,,,
,Line Graph,World,2019,73.0,,,,,,
,Line Graph,World,2021,71.5,,,,,,
,Line Graph,World,2023,72.5,,,,,,
,Line Graph,Africa,1770,26.5,,,,,,
,Line Graph,Africa,1820,26.5,,,,,,
,Line Graph,Africa,1850,26.5,,,,,,
,Line Graph,Africa,1870,26.5,,,,,,
,Line Graph,Africa,1929,26.5,,,,,,
,Line Graph,Africa,1950,36.5,,,,,,
,Line Graph,Africa,1960,40.5,,,,,,
,Line Graph,Africa,1970,44.5,,,,,,
,Line Graph,Africa,1980,48.5,,,,,,
,Line Graph,Africa,1990,51.5,,,,,,
,Line Graph,Africa,1995,51.0,,,,,,
,Line Graph,Africa,2000,52.0,,,,,,
,Line Graph,Africa,2005,54.5,,,,,,
,Line Graph,Africa,2010,58.0,,,,,,
,Line Graph,Africa,2015,61.5,,,,,,
,Line Graph,Africa,2019,63.5,,,,,,
,Line Graph,Africa,2021,62.5,,,,,,
,Line Graph,Africa,2023,63.0,,,,,,
