layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,World,-10000,0.004,,,,,,
,Line Graph,World,0,0.19,,,,,,
,Line Graph,World,1000,0.27,,,,,,
,Line Graph,World,1800,0.9,,,,,,
,Line Graph,World,1950,2.5,,,,,,
,Line Graph,World,2000,6.1,,,,,,
,Line Graph,World,2023,8.0,,,,,,
,Line Graph,Asia,-10000,0.002,,,,,,
,Line Graph,Asia,0,0.12,,,,,,
,Line Graph,Asia,1800,0.6,,,,,,
,Line Graph,Asia,1950,1.4,,,,,,
,Line Graph,Asia,2000,3.7,,,,,,
,Line Graph,Asia,2023,4.7,,,,,,
,Line Graph,Africa,-10000,0.001,,,,,,
,Line Graph,Africa,0,0.03,,,,,,
,Line Graph,Africa,1800,0.1,,,,,,
,Line Graph,Africa,1950,0.22,,,,,,
,Line Graph,Africa,2000,0.81,,,,,,
,Line Graph,Africa,2023,1.45,,,,,,
,Line Graph,Europe,-10000,0.001,,,,,,
,Line Graph,Europe,0,0.03,,,,,,
,Line Graph,Europe,1800,0.2,,,,,,
,Line Graph,Europe,1950,0.55,,,,,,
,Line Graph,Europe,2000,0.72,,,,,,
,Line Graph,Europe,2023,0.74,,,,,,
,Line Graph,North America,-10000,0.0001,,,,,,
,Line Graph,North America,0,0.002,,,,,,
,Line Graph,North America,1800,0.03,,,,,,
,Line Graph,North America,1950,0.23,,,,,,
,Line Graph,North America,2000,0.48,,,,,,
,Line Graph,North America,2023,0.6,,,,,,
,Line Graph,South America,-10000,0.0001,,,,,,
,Line Graph,South America,0,0.002,,,,,,
,Line Graph,South America,1800,0.02,,,,,,
,Line Graph,South America,1950,0.17,,,,,,
,Line Graph,South America,2000,0.35,,,,,,
,Line Graph,South America,2023,0.43,,,,,,
,Line Graph,Oceania,-10000,0.0001,,,,,,
,Line Graph,Oceania,0,0.001,,,,,,
,Line Graph,Oceania,1800,0.002,,,,,,
,Line Graph,Oceania,1950,0.013,,,,,,
,Line Graph,Oceania,2000,0.031,,,,,,
,Line Graph,Oceania,2023,0.045,,,,,,
