layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Sweden,1985,95.5,,,,,,
,Line Graph,Sweden,1986,96.5,,,,,,
,Line Graph,Sweden,1987,97.0,,,,,,
,Line Graph,Sweden,1988,97.5,,,,,,
,Line Graph,Sweden,1989,97.0,,,,,,
,Line Graph,Sweden,1990,98.0,,,,,,
,Line Graph,Sweden,1991,96.0,,,,,,
,Line Graph,Sweden,1992,97.0,,,,,,
,Line Graph,Sweden,1993,98.0,,,,,,
,Line Graph,Sweden,1994,98.5,,,,,,
,Line Graph,Sweden,1995,98.0,,,,,,
,Line Graph,Sweden,1996,96.0,,,,,,
,Line Graph,Sweden,1997,98.0,,,,,,
,Line Graph,Sweden,1998,98.5,,,,,,
,Line Graph,Sweden,1999,97.0,,,,,,
,Line Graph,Sweden,2000,98.0,,,,,,
,Line Graph,Sweden,2001,98.5,,,,,,
,Line Graph,Sweden,2002,97.0,,,,,,
,Line Graph,Sweden,2003,96.0,,,,,,
,Line Graph,Sweden,2004,98.0,,,,,,
,Line Graph,Sweden,2005,98.5,,,,,,
,Line Graph,Sweden,2006,97.0,,,,,,
,Line Graph,Sweden,2007,98.0,,,,,,
,Line Graph,Sweden,2008,98.5,,,,,,
,Line Graph,Sweden,2009,95.0,,,,,,
,Line Graph,Sweden,2010,98.0,,,,,,
,Line Graph,Sweden,2011,98.5,,,,,,
,Line Graph,Sweden,2012,99.0,,,,,,
,Line Graph,Sweden,2013,98.0,,,,,,
,Line Graph,Sweden,2014,98.5,,,,,,
,Line Graph,Sweden,2015,98.0,,,,,,
,Line Graph,Sweden,2016,98.5,,,,,,
,Line Graph,Sweden,2017,98.0,,,,,,
,Line Graph,Sweden,2018,98.5,,,,,,
,Line Graph,Sweden,2019,99.0,,,,,,
,Line Graph,Sweden,2020,98.5,,,,,,
,Line Graph,Sweden,2021,98.5,,,,,,
,Line Graph,Sweden,2022,99.0,,,,,,
,Line Graph,Sweden,2023,98.5,,,,,,
,Line Graph,Sweden,2024,99.0,,,,,,
,Line Graph,Sweden,2025,99.5,,,,,,
,Line Graph,France,1985,83.0,,,,,,
,Line Graph,France,1986,88.0,,,,,,
,Line Graph,France,1987,90.0,,,,,,
,Line Graph,France,1988,93.0,,,,,,
,Line Graph,France,1989,88.0,,,,,,
,Line Graph,France,1990,91.0,,,,,,
,Line Graph,France,1991,89.0,,,,,,
,Line Graph,France,1992,87.0,,,,,,
,Line Graph,France,1993,92.0,,,,,,
,Line Graph,France,1994,90.0,,,,,,
,Line Graph,France,1995,93.0,,,,,,
,Line Graph,France,1996,92.0,,,,,,
,Line Graph,France,1997,90.0,,,,,,
,Line Graph,France,1998,92.0,,,,,,
,Line Graph,France,1999,91.0,,,,,,
,Line Graph,France,2000,89.0,,,,,,
,Line Graph,France,2001,92.0,,,,,,
,Line Graph,France,2002,91.0,,,,,,
,Line Graph,France,2003,90.0,,,,,,
,Line Graph,France,2004,90.0,,,,,,
,Line Graph,France,2005,93.0,,,,,,
,Line Graph,France,2006,92.0,,,,,,
,Line Graph,France,2007,92.0,,,,,,
,Line Graph,France,2008,91.0,,,,,,
,Line Graph,France,2009,88.0,,,,,,
,Line Graph,France,2010,92.0,,,,,,
,Line Graph,France,2011,90.0,,,,,,
,Line Graph,France,2012,93.0,,,,,,
,Line Graph,France,2013,94.0,,,,,,
,Line Graph,France,2014,92.0,,,,,,
,Line Graph,France,2015,91.0,,,,,,
,Line Graph,France,2016,90.0,,,,,,
,Line Graph,France,2017,92.0,,,,,,
,Line Graph,France,2018,93.0,,,,,,
,Line Graph,France,2019,91.0,,,,,,
,Line Graph,France,2020,90.0,,,,,,
,Line Graph,France,2021,87.0,,,,,,
,Line Graph,France,2022,92.0,,,,,,
