layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,North America (WB),2005,68,,,,,,
,Line Graph,North America (WB),2006,74,,,,,,
,Line Graph,North America (WB),2007,74.5,,,,,,
,Line Graph,North America (WB),2008,72,,,,,,
,Line Graph,North America (WB),2009,74,,,,,,
,Line Graph,North America (WB),2010,72.5,,,,,,
,Line Graph,North America (WB),2011,72,,,,,,
,Line Graph,North America (WB),2012,71,,,,,,
,Line Graph,North America (WB),2013,75,,,,,,
,Line Graph,North America (WB),2014,73,,,,,,
,Line Graph,North America (WB),2015,86,,,,,,
,Line Graph,North America (WB),2016,88,,,,,,
,Line Graph,North America (WB),2017,89,,,,,,
,Line Graph,North America (WB),2018,90,,,,,,
,Line Graph,North America (WB),2019,91,,,,,,
,Line Graph,North America (WB),2020,92,,,,,,
,Line Graph,North America (WB),2021,93,,,,,,
,Line Graph,North America (WB),2022,94,,,,,,
,Line Graph,North America (WB),2023,95,,,,,,
,Line Graph,North America (WB),2024,96,,,,,,
,Line Graph,North America (WB),2025,97,,,,,,
,Line Graph,Europe and Central Asia (WB),2004,34,,,,,,
,Line Graph,Europe and Central Asia (WB),2005,38,,,,,,
,Line Graph,Europe and Central Asia (WB),2006,43,,,,,,
,Line Graph,Europe and Central Asia (WB),2007,48,,,,,,
,Line Graph,Europe and Central Asia (WB),2008,52,,,,,,
,Line Graph,Europe and Central Asia (WB),2009,56,,,,,,
,Line Graph,Europe and Central Asia (WB),2010,60,,,,,,
,Line Graph,Europe and Central Asia (WB),2011,64,,,,,,
,Line Graph,Europe and Central Asia (WB),2012,67,,,,,,
,Line Graph,Europe and Central Asia (WB),2013,69,,,,,,
,Line Graph,Europe and Central Asia (WB),2014,71,,,,,,
,Line Graph,Europe and Central Asia (WB),2015,73,,,,,,
,Line Graph,Europe and Central Asia (WB),2016,75,,,,,,
,Line Graph,Europe and Central Asia (WB),2017,77,,,,,,
,Line Graph,Europe and Central Asia (WB),2018,79,,,,,,
,Line Graph,Europe and Central Asia (WB),2019,81,,,,,,
,Line Graph,Europe and Central Asia (WB),2020,83,,,,,,
,Line Graph,Europe and Central Asia (WB),2021,85,,,,,,
,Line Graph,Europe and Central Asia (WB),2022,87,,,,,,
,Line Graph,Europe and Central Asia (WB),2023,89,,,,,,
,Line Graph,Europe and Central Asia (WB),2024,91,,,,,,
,Line Graph,Europe and Central Asia (WB),2025,93,,,,,,
,Line Graph,East Asia and Pacific (WB),2004,15,,,,,,
,Line Graph,East Asia and Pacific (WB),2005,17,,,,,,
,Line Graph,East Asia and Pacific (WB),2006,21,,,,,,
,Line Graph,East Asia and Pacific (WB),2007,26,,,,,,
,Line Graph,East Asia and Pacific (WB),2008,31,,,,,,
,Line Graph,East Asia and Pacific (WB),2009,36,,,,,,
,Line Graph,East Asia and Pacific (WB),2010,41,,,,,,
,Line Graph,East Asia and Pacific (WB),2011,46,,,,,,
,Line Graph,East Asia and Pacific (WB),2012,51,,,,,,
,Line Graph,East Asia and Pacific (WB),2013,56,,,,,,
,Line Graph,East Asia and Pacific (WB),2014,61,,,,,,
,Line Graph,East Asia and Pacific (WB),2015,66,,,,,,
,Line Graph,East Asia and Pacific (WB),2016,71,,,,,,
,Line Graph,East Asia and Pacific (WB),2017,76,,,,,,
,Line Graph,East Asia and Pacific (WB),2018,80,,,,,,
,Line Graph,East Asia and Pacific (WB),2019,83,,,,,,
,Line Graph,East Asia and Pacific (WB),2020,86,,,,,,
,Line Graph,East Asia and Pacific (WB),2021,88,,,,,,
,Line Graph,East Asia and Pacific (WB),2022,90,,,,,,
,Line Graph,East Asia and Pacific (WB),2023,92,,,,,,
,Line Graph,East Asia and Pacific (WB),2024,94,,,,,,
,Line Graph,East Asia and Pacific (WB),2025,96,,,,,,
,Line Graph,Latin America and Caribbean (WB),2004,17,,,,,,
,Line Graph,Latin America and Caribbean (WB),2005,21,,,,,,
,Line Graph,Latin America and Caribbean (WB),2006,25,,,,,,
,Line Graph,Latin America and Caribbean (WB),2007,29,,,,,,
,Line Graph,Latin America and Caribbean (WB),2008,33,,,,,,
,Line Graph,Latin America and Caribbean (WB),2009,37,,,,,,
,Line Graph,Latin America and Caribbean (WB),2010,41,,,,,,
,Line Graph,Latin America and Caribbean (WB),2011,45,,,,,,
,Line Graph,Latin America and Caribbean (WB),2012,49,,,,,,
,Line Graph,Latin America and Caribbean (WB),2013,53,,,,,,
,Line Graph,Latin America and Caribbean (WB),2014,57,,,,,,
,Line Graph,Latin America and Caribbean (WB),2015,61,,,,,,
,Line Graph,Latin America and Caribbean (WB),2016,65,,,,,,
,Line Graph,Latin America and Caribbean (WB),2017,69,,,,,,
,Line Graph,Latin America and Caribbean (WB),2018,73,,,,,,
,Line Graph,Latin America and Caribbean (WB),2019,77,,,,,,
,Line Graph,Latin America and Caribbean (WB),2020,80,,,,,,
,Line Graph,Latin America and Caribbean (WB),2021,83,,,,,,
,Line Graph,Latin America and Caribbean (WB),2022,86,,,,,,
,Line Graph,Latin America and Caribbean (WB),2023,88,,,,,,
,Line Graph,Latin America and Caribbean (WB),2024,90,,,,,,
,Line Graph,Latin America and Caribbean (WB),2025,92,,,,,,
,Line Graph,World,2004,15,,,,,,
,Line Graph,World,2005,18,,,,,,
,Line Graph,World,2006,21,,,,,,
,Line Graph,World,2007,24,,,,,,
,Line Graph,World,2008,27,,,,,,
,Line Graph,World,2009,30,,,,,,
,Line Graph,World,2010,33,,,,,,
,Line Graph,World,2011,36,,,,,,
,Line Graph,World,2012,39,,,,,,
,Line Graph,World,2013,42,,,,,,
,Line Graph,World,2014,45,,,,,,
,Line Graph,World,2015,48,,,,,,
,Line Graph,World,2016,51,,,,,,
,Line Graph,World,2017,54,,,,,,
,Line Graph,World,2018,57,,,,,,
,Line Graph,World,2019,60,,,,,,
,Line Graph,World,2020,63,,,,,,
,Line Graph,World,2021,66,,,,,,
,Line Graph,World,2022,69,,,,,,
,Line Graph,World,2023,71,,,,,,
,Line Graph,World,2024,73,,,,,,
,Line Graph,World,2025,75,,,,,,
,Line Graph,South Asia (WB),2004,2,,,,,,
,Line Graph,South Asia (WB),2005,3,,,,,,
,Line Graph,South Asia (WB),2006,4,,,,,,
,Line Graph,South Asia (WB),2007,5,,,,,,
,Line Graph,South Asia (WB),2008,6,,,,,,
,Line Graph,South Asia (WB),2009,7,,,,,,
,Line Graph,South Asia (WB),2010,8,,,,,,
,Line Graph,South Asia (WB),2011,9,,,,,,
,Line Graph,South Asia (WB),2012,10,,,,,,
