layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Scatter Plot,Series A,1.6,2.8,,,,,,
,Scatter Plot,Series A,2.4,3.8,,,,,,
,Scatter Plot,Series A,2.5,4.4,,,,,,
,Scatter Plot,Series A,3.2,3.5,,,,,,
,Scatter Plot,Series A,4.5,4.9,,,,,,
,Scatter Plot,Series A,5.2,6.2,,,,,,
,Scatter Plot,Series A,5.5,7.0,,,,,,
,Scatter Plot,Series A,6.4,7.2,,,,,,
,Scatter Plot,Series A,6.6,7.7,,,,,,
,Scatter Plot,Series A,7.6,8.4,,,,,,
,Scatter Plot,Series A,7.8,8.7,,,,,,
,Scatter Plot,Series A,9.0,9.0,,,,,,
,Scatter Plot,Series B,1.5,4.8,,,,,,
,Scatter Plot,Series B,1.8,5.0,,,,,,
,Scatter Plot,Series B,1.9,4.3,,,,,,
,Scatter Plot,Series B,3.5,5.7,,,,,,
,Scatter Plot,Series B,4.2,5.3,,,,,,
,Scatter Plot,Series B,4.3,4.5,,,,,,
,Scatter Plot,Series B,5.3,5.6,,,,,,
,Scatter Plot,Series B,5.8,5.1,,,,,,
,Scatter Plot,Series B,7.2,7.0,,,,,,
,Scatter Plot,Series B,9.2,7.4,,,,,,
,Scatter Plot,Series B,9.7,7.9,,,,,,
,Scatter Plot,Series C,2.6,5.8,,,,,,
,Scatter Plot,Series C,2.8,6.3,,,,,,
,Scatter Plot,Series C,3.3,5.0,,,,,,
,Scatter Plot,Series C,3.6,4.7,,,,,,
,Scatter Plot,Series C,6.5,4.4,,,,,,
,Scatter Plot,Series C,7.3,5.1,,,,,,
,Scatter Plot,Series C,7.4,4.3,,,,,,
,Scatter Plot,Series C,8.0,4.1,,,,,,
,Scatter Plot,Series C,8.3,4.5,,,,,,
