layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Grouped Column Chart,Baseline,Q1,42,,,,,,
,Grouped Column Chart,Tuned,Q1,58,,,,,,
,Grouped Column Chart,Tuned+JIT,Q1,71,,,,,,
,Grouped Column Chart,Baseline,Q2,45,,,,,,
,Grouped Column Chart,Tuned,Q2,63,,,,,,
,Grouped Column Chart,Tuned+JIT,Q2,78,,,,,,
,Grouped Column Chart,Baseline,Q3,49,,,,,,
,Grouped Column Chart,Tuned,Q3,67,,,,,,
,Grouped Column Chart,Tuned+JIT,Q3,82,,,,,,
,Grouped Column Chart,Baseline,Q4,51,,,,,,
,Grouped Column Chart,Tuned,Q4,70,,,,,,
,Grouped Column Chart,Tuned+JIT,Q4,85,,,,,,
,Grouped Column Chart,Baseline,Q5,54,,,,,,
,Grouped Column Chart,Tuned,Q5,74,,,,,,
,Grouped Column Chart,Tuned+JIT,Q5,89,,,,,,
1,ErrorBarLayer,Baseline_err_upper,Q1,45,,,,,,
1,ErrorBarLayer,Baseline_err_lower,Q1,39,,,,,,
1,ErrorBarLayer,Tuned_err_upper,Q1,62,,,,,,
1,ErrorBarLayer,Tuned_err_lower,Q1,54,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_upper,Q1,75,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_lower,Q1,67,,,,,,
1,ErrorBarLayer,Baseline_err_upper,Q2,48,,,,,,
1,ErrorBarLayer,Baseline_err_lower,Q2,42,,,,,,
1,ErrorBarLayer,Tuned_err_upper,Q2,66,,,,,,
1,ErrorBarLayer,Tuned_err_lower,Q2,59,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_upper,Q2,83,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_lower,Q2,73,,,,,,
1,ErrorBarLayer,Baseline_err_upper,Q3,53,,,,,,
1,ErrorBarLayer,Baseline_err_lower,Q3,46,,,,,,
1,ErrorBarLayer,Tuned_err_upper,Q3,72,,,,,,
1,ErrorBarLayer,Tuned_err_lower,Q3,62,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_upper,Q3,86,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_lower,Q3,77,,,,,,
1,ErrorBarLayer,Baseline_err_upper,Q4,54,,,,,,
1,ErrorBarLayer,Baseline_err_lower,Q4,48,,,,,,
1,ErrorBarLayer,Tuned_err_upper,Q4,74,,,,,,
1,ErrorBarLayer,Tuned_err_lower,Q4,66,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_upper,Q4,90,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_lower,Q4,80,,,,,,
1,ErrorBarLayer,Baseline_err_upper,Q5,58,,,,,,
1,ErrorBarLayer,Baseline_err_lower,Q5,50,,,,,,
1,ErrorBarLayer,Tuned_err_upper,Q5,78,,,,,,
1,ErrorBarLayer,Tuned_err_lower,Q5,70,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_upper,Q5,94,,,,,,
1,ErrorBarLayer,Tuned+JIT_err_lower,Q5,84,,,,,,
