layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Exponential: 100 e^(-0.5 t),1,60.7,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),2,36.8,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),3,22.3,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),4,13.5,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),5,8.2,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),6,5.0,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),7,3.0,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),8,1.8,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),9,1.1,,,,,,
,Line Graph,Exponential: 100 e^(-0.5 t),10,0.7,,,,,,
,Line Graph,Power law: 500 / t^1.6,0.65,1000,,,,,,
,Line Graph,Power law: 500 / t^1.6,1,500,,,,,,
,Line Graph,Power law: 500 / t^1.6,2,164.9,,,,,,
,Line Graph,Power law: 500 / t^1.6,3,96.5,,,,,,
,Line Graph,Power law: 500 / t^1.6,4,65.7,,,,,,
,Line Graph,Power law: 500 / t^1.6,5,48.8,,,,,,
,Line Graph,Power law: 500 / t^1.6,6,38.3,,,,,,
,Line Graph,Power law: 500 / t^1.6,7,31.2,,,,,,
,Line Graph,Power law: 500 / t^1.6,8,26.2,,,,,,
,Line Graph,Power law: 500 / t^1.6,9,22.4,,,,,,
,Line Graph,Power law: 500 / t^1.6,10,19.9,,,,,,
