layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Stacked Column Chart,CPU,Web,22,,,,,,
,Stacked Column Chart,CPU,API,31,,,,,,
,Stacked Column Chart,CPU,Worker,45,,,,,,
,Stacked Column Chart,CPU,Cron,18,,,,,,
,Stacked Column Chart,CPU,DB,28,,,,,,
,Stacked Column Chart,Memory,Web,15,,,,,,
,Stacked Column Chart,Memory,API,22,,,,,,
,Stacked Column Chart,Memory,Worker,29,,,,,,
,Stacked Column Chart,Memory,Cron,12,,,,,,
,Stacked Column Chart,Memory,DB,35,,,,,,
,Stacked Column Chart,IO Wait,Web,8,,,,,,
,Stacked Column Chart,IO Wait,API,12,,,,,,
,Stacked Column Chart,IO Wait,Worker,18,,,,,,
,Stacked Column Chart,IO Wait,Cron,5,,,,,,
,Stacked Column Chart,IO Wait,DB,22,,,,,,
