layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Scatter Plot,Measurement,2.5,8.5,,,,,,
,Scatter Plot,Measurement,6.5,10.2,,,,,,
,Scatter Plot,Measurement,10.5,12.5,,,,,,
,Scatter Plot,Measurement,14.5,13.0,,,,,,
,Scatter Plot,Measurement,18.5,15.0,,,,,,
,Scatter Plot,Measurement,22.5,18.0,,,,,,
,Scatter Plot,Measurement,26.5,23.0,,,,,,
,Scatter Plot,Measurement,30.0,28.0,,,,,,
1,ErrorBarLayer,Measurement_err_upper,2.5,9.5,,,,,,
1,ErrorBarLayer,Measurement_err_lower,2.5,7.5,,,,,,
1,ErrorBarLayer,Measurement_err_upper,6.5,11.2,,,,,,
1,ErrorBarLayer,Measurement_err_lower,6.5,9.2,,,,,,
1,ErrorBarLayer,Measurement_err_upper,10.5,13.5,,,,,,
1,ErrorBarLayer,Measurement_err_lower,10.5,11.5,,,,,,
1,ErrorBarLayer,Measurement_err_upper,14.5,14.5,,,,,,
1,ErrorBarLayer,Measurement_err_lower,14.5,11.5,,,,,,
1,ErrorBarLayer,Measurement_err_upper,18.5,17.0,,,,,,
1,ErrorBarLayer,Measurement_err_lower,18.5,13.0,,,,,,
1,ErrorBarLayer,Measurement_err_upper,22.5,20.0,,,,,,
1,ErrorBarLayer,Measurement_err_lower,22.5,16.0,,,,,,
1,ErrorBarLayer,Measurement_err_upper,26.5,25.0,,,,,,
1,ErrorBarLayer,Measurement_err_lower,26.5,21.0,,,,,,
1,ErrorBarLayer,Measurement_err_upper,30.0,29.5,,,,,,
1,ErrorBarLayer,Measurement_err_lower,30.0,26.5,,,,,,
