layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Drive current (A),0.0,0.42,,,,,,
,Line Graph,Drive current (A),0.5,0.44,,,,,,
,Line Graph,Drive current (A),1.0,0.46,,,,,,
,Line Graph,Drive current (A),1.5,0.5,,,,,,
,Line Graph,Drive current (A),2.0,0.52,,,,,,
,Line Graph,Drive current (A),2.5,0.56,,,,,,
,Line Graph,Drive current (A),3.0,0.58,,,,,,
,Line Graph,Drive current (A),3.5,0.59,,,,,,
,Line Graph,Drive current (A),4.0,0.64,,,,,,
,Line Graph,Drive current (A),4.5,0.7,,,,,,
,Line Graph,Drive current (A),5.0,0.7,,,,,,
,Line Graph,Drive current (A),5.5,0.725,,,,,,
,Line Graph,Drive current (A),6.0,0.76,,,,,,
,Line Graph,Drive current (A),6.5,0.84,,,,,,
,Line Graph,Drive current (A),7.0,0.845,,,,,,
,Line Graph,Drive current (A),7.5,0.88,,,,,,
,Line Graph,Drive current (A),8.0,0.9,,,,,,
,Line Graph,Drive current (A),8.5,0.95,,,,,,
,Line Graph,Drive current (A),9.0,0.93,,,,,,
,Line Graph,Drive current (A),9.5,0.96,,,,,,
,Line Graph,Drive current (A),10.0,1.01,,,,,,
,Line Graph,Cell voltage (V),0.0,12.2,,,,,,
,Line Graph,Cell voltage (V),0.5,11.9,,,,,,
,Line Graph,Cell voltage (V),1.0,11.2,,,,,,
,Line Graph,Cell voltage (V),1.5,11.3,,,,,,
,Line Graph,Cell voltage (V),2.0,11.35,,,,,,
,Line Graph,Cell voltage (V),2.5,10.8,,,,,,
,Line Graph,Cell voltage (V),3.0,10.8,,,,,,
,Line Graph,Cell voltage (V),3.5,10.7,,,,,,
,Line Graph,Cell voltage (V),4.0,10.0,,,,,,
,Line Graph,Cell voltage (V),4.5,9.9,,,,,,
,Line Graph,Cell voltage (V),5.0,10.2,,,,,,
,Line Graph,Cell voltage (V),5.5,9.9,,,,,,
,Line Graph,Cell voltage (V),6.0,9.5,,,,,,
,Line Graph,Cell voltage (V),6.5,9.2,,,,,,
,Line Graph,Cell voltage (V),7.0,9.5,,,,,,
,Line Graph,Cell voltage (V),7.5,8.7,,,,,,
,Line Graph,Cell voltage (V),8.0,8.8,,,,,,
,Line Graph,Cell voltage (V),8.5,8.3,,,,,,
,Line Graph,Cell voltage (V),9.0,8.5,,,,,,
,Line Graph,Cell voltage (V),9.5,8.4,,,,,,
,Line Graph,Cell voltage (V),10.0,8.2,,,,,,
