layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Throughput,5,1500000,,,,,,
,Line Graph,Throughput,12,1900000,,,,,,
,Line Graph,Throughput,20,2100000,,,,,,
,Line Graph,Throughput,28,2400000,,,,,,
,Line Graph,Throughput,35,3500000,,,,,,
,Line Graph,Throughput,40,3600000,,,,,,
,Line Graph,Throughput,48,4100000,,,,,,
,Line Graph,Throughput,55,4700000,,,,,,
,Line Graph,Throughput,60,5200000,,,,,,
,Line Graph,Throughput,68,6500000,,,,,,
,Line Graph,Throughput,72,6700000,,,,,,
,Line Graph,Throughput,80,7200000,,,,,,
,Line Graph,Throughput,87,8100000,,,,,,
,Line Graph,Throughput,95,8600000,,,,,,
