layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
0,Line Graph,"Linear fit (slope=1.76, intercept=4.00)",0,4.0,,,,,,
0,Line Graph,"Linear fit (slope=1.76, intercept=4.00)",10,21.6,,,,,,
1,Scatter Plot,Measurement,0.5,5.0,,,,,,
1,Scatter Plot,Measurement,1.5,6.5,,,,,,
1,Scatter Plot,Measurement,2.5,7.5,,,,,,
1,Scatter Plot,Measurement,3.5,8.8,,,,,,
1,Scatter Plot,Measurement,4.5,11.2,,,,,,
1,Scatter Plot,Measurement,5.5,12.2,,,,,,
1,Scatter Plot,Measurement,6.5,14.5,,,,,,
1,Scatter Plot,Measurement,7.5,15.8,,,,,,
1,Scatter Plot,Measurement,8.5,17.5,,,,,,
1,Scatter Plot,Measurement,9.0,19.2,,,,,,
1,Scatter Plot,Measurement,9.5,21.5,,,,,,
