layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,Series A (rising),0,1.5,,,,,,
,Line Graph,Series A (rising),1,1.8,,,,,,
,Line Graph,Series A (rising),2,2.3,,,,,,
,Line Graph,Series A (rising),3,2.9,,,,,,
,Line Graph,Series A (rising),4,3.6,,,,,,
,Line Graph,Series A (rising),5,4.5,,,,,,
,Line Graph,Series A (rising),6,5.5,,,,,,
,Line Graph,Series A (rising),7,6.6,,,,,,
,Line Graph,Series A (rising),8,7.4,,,,,,
,Line Graph,Series A (rising),9,8.1,,,,,,
,Line Graph,Series A (rising),10,8.5,,,,,,
,Line Graph,Series B (falling),0,8.0,,,,,,
,Line Graph,Series B (falling),1,7.5,,,,,,
,Line Graph,Series B (falling),2,7.0,,,,,,
,Line Graph,Series B (falling),3,6.5,,,,,,
,Line Graph,Series B (falling),4,6.0,,,,,,
,Line Graph,Series B (falling),5,5.5,,,,,,
,Line Graph,Series B (falling),6,5.0,,,,,,
,Line Graph,Series B (falling),7,4.5,,,,,,
,Line Graph,Series B (falling),8,4.0,,,,,,
,Line Graph,Series B (falling),9,3.5,,,,,,
,Line Graph,Series B (falling),10,3.0,,,,,,
